"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","afn-fulfillable-quantity-local","afn-fulfillable-quantity-remote","afn-fc-transfer-quantity","afn-onhand-buyable-quantity","store"
"JJ250401","X0029TS8ST","B0F3877HJB","Generic Double-Sided Exfoliating Mitt Body Scrubber, Loofah Bath Sponge for Adult Shower & Skin Cleansing (Beige & Gray)","New","8.59","No",,"Yes","10","10","0","0","10","768.06","0","0","0","0","0","0","10","0","0","10",
"JJ250404","X0029TZJDV","B0F386D8RP","Stainless Steel Wine Bottle Drip Collar Felt Lining Wine Bottle Collars Wine Drip","New","7.79","No",,"Yes","29","29","0","0","29","330.04","0","0","0","0","0","0","29","0","0","29",
"JJ250406","X0029U1VJ1","B0F38983BP","10 x Window Handle Striker Plate Wedges","New","7.39","No",,"Yes","24","22","0","2","24","144.04","0","0","0","0","0","0","22","0","0","22",
"JJ250407","X0029TYCI9","B0F389PJMM","2 Pieces Fish Bone Tweezers, Stainless Steel Flat and Slant Tweezers Pliers Remover Tool","New","7.59","No",,"Yes","14","14","0","0","14","400.01","0","0","0","0","0","0","14","0","0","14",
"JJ250408","X0029UFOJT","B0F3C82RVV","UMORDUP 3Pcs Multicolor Egg Topper Cutter, Boiled Egg Shell Opener, ABS & Stainless Steel Kitchen Tool","New","8.59","No",,"Yes","9","9","0","0","9","244.82","0","0","0","0","0","0","9","0","0","9",
"JJ250901","X002E7EAJH","B0FPM2ZNT8","Bristle Slick Back Hair Brush for Sleek Ponytail Bun Smoothing Baby Hairs Flyaways Edge Control Backcombing Teasing Wide for Sectioning Parting","New","5.99","No",,"Yes","59","59","0","0","99","342.82","0","40","0","0","0","70","59","0","0","59",
"JJ250902","X002E7BXMT","B0FPLT4X14","UMORDUP 2Pcs Vintage Alloy Pommel Curtain Holdbacks Tieback Hooks, Wall Door Mounted Coat Hat Hangers, Bronze","New","4.19","No",,"Yes","0","0","0","0","0","99.96","0","0","0","0","0","0","0","0","0","0",
"JJ250904","X002E7HJO5","B0FPLTTTPN","Messy Bun Hair Piece Tousled Updo Elastic Synthetic Donut Scrunchies - Light Ash Blonde with Highlights","New","5.79","No",,"Yes","98","97","1","0","188","99.96","80","10","0","0","0","30","97","0","0","97",
"JJ250905","X002E7NX59","B0FPM67Z5J","UMORDUP 50 Pack Jewelry Cleaning Cloth, Polishing Cloth for Silver Gold Platinum Pearl, Grey, 10 x 10 cm","New","5.19","No",,"Yes","0","0","0","0","0","99.96","0","0","0","0","0","0","0","0","0","0",
"JJ250906","X002E7BZU9","B0FPLP6TZF","UMORDUP 2Pcs White Body Measuring Tape, 150cm Retractable Tape with Lock, Dual Sided Inch & CM for Fitness Sewing Tailoring","New","4.99","No",,"Yes","31","31","0","0","31","99.96","0","0","0","0","0","0","31","0","0","31",
"JJ250907","X002E7FD4X","B0FPLTHCHY","UMORDUP 5PCS Large Red Pull Bows for Gift Wrapping, Wedding, Party, Birthday, Basket & Flower Decoration","New","5.59","No",,"Yes","29","29","0","0","29","1052.7","0","0","0","0","0","0","29","0","0","29",
"JJ250908","X002E7E4B1","B0FPLRJL1H","UMORDUP 6 Pack Adhesive Wall & Ceiling Hooks, Heavy Duty No Drill Towel Hooks, Waterproof Self Adhesive Hangers for Bathroom Bedroom Kitchen Door, White, Max Load 5lbs","New","4.39","No",,"Yes","1","1","0","0","1","99.96","0","0","0","0","0","0","1","0","0","1",
"JJ250909","X002E7HJA9","B0FPM2Y9KJ","UMORDUP 2pcs Waterproof Rain Cover for Backpack, Reflective Protector for Anti-dust and Anti-Theft 30-40L Black","New","5.69","No",,"Yes","40","40","0","0","40","1968.41","0","0","0","0","0","0","40","0","0","40",
"JJ2509100","X002E780F7","B0FH2HY5V1","TRHDFW Silk Bonnet for Sleeping Long Hair & Braids Extensions Hair, Satin Long Bonnet for Women, Adjustable Silk Scarf Night Cap with Tie Band, Black","New","5.09","No",,"Yes","26","21","0","5","56","1164.96","30","0","0","0","0","0","21","0","0","21",
"JJ2509101","X002E76CLL","B0FGPYZJ2Q","Pouch for Phones Car Keys Anti-Tracking Mobile Phone Case RFID Blocking Signal Keyless Entry Bag Cards","New","4.09","No",,"Yes","0","0","0","0","0","435.08","0","0","0","0","0","0","0","0","0","0",
