"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","JJ2509255","X002E7Q8KB","B0FMFC2DK2","Check Pattern Square Cufflinks for Men in Gift Case Silver Tone Dark Blue Classic Cufflinks Set for Wedding Party Birthday Anniversary","New","23","0","0","25","0","0","0","0","0","GBP","2","7","17","22","Low traffic","5.69","0.0","5.69","0.0","NoRestockExcessActionRequired","0","0.0","0","0","108.34","1.84","0.001766","cubic feet","Apparel","0.040618","UK","gl_jewelry","247812","117","0","13","14","5.69","9.48","33.18","80.94","105.54","25","0","0","0","0","0.05","1","0","0","1","1","0","","","","","","","","","","","","","35.0","0","","2026-08-09","35.0","34.9","2026-08-10","24","1","0","0","120","N","","",""
"2026-08-13","JJ2509114","X002E78RC3","B0FG7LDRRN","TRHDFW Safety Goggles Clear Wraparound Safety Glasses Eye Impacted Sealed Protective Work Goggles Over Spectacles for DIY Lab Grinding etc GENERAL PURPOSE GOGGLES CLEAR","New","3","0","0","6","0","0","0","0","0","GBP","2","12","21","34","Low traffic","4.89","0.0","4.89","0.0","CreateShippingPlan","3","0.0","0","0","0.0","1.84","0.044747","cubic feet","Standard","0.134241","UK","gl_sports","136888","9","0","1","1","4.89","8.14","48.84","85.47","138.38","0","0","6","0","0","0.12","0","0","0","0","0","0","","","","","","","","","","","","","55.0","23","2026-08-12","2026-08-09","30.8","55.0","2026-08-10","3","0","0","0","9","N","","",""
"2026-08-13","JJ2510136","X002FQ2KRV","B0DBZHRN6B","JYTDBCS 2 Pcs Retractable Badge Clip, Heavy Duty Badge Reel, Upgrade Retractable Badge Holders with Belt Clip Key Ring, Metal ID Badge Holder for Name Card Keychain","New","15","0","0","10","6","0","0","0","0","GBP","1","7","13","20","Low traffic","6.09","0.0","6.09","0.0","NoRestockExcessActionRequired","0","0.0","0","0","97.22","1.01","0.00477","cubic feet","Standard","0.07155","UK","gl_office_product","149047","146","30","17","19","6.09","5.07","35.66","67.1","103.78","10","0","0","0","0","0.06","15","0","15","0","0","0","","","","","","","","","","","","","91.2","0","","2026-08-09","91.0","91.2","2026-08-10","30","0","0","0","146","N","","",""
"2026-08-13","JJ250926","X002E7F90L","B0FPM3NLKD","UMORDUP Funny Novelty Sexy Muscle Man Cooking Apron, Kitchen BBQ Party Adult Gift for Men Women, Red","New","44","0","0","0","45","0","0","0","0","GBP","4","5","16","20","Low traffic","4.89","0.0","4.89","0.0","NoRestockExcessActionRequired","14","2.74","15","0","77.54","0.36","0.02393","cubic feet","Apparel","1.05292","UK","gl_apparel","28126","293","30","35","28","4.89","16.28","20.35","64.48","80.44","0","0","0","0","0","0.59","0","0","0","0","0","0","","","","","","","","","","","","","294.8","0","","2026-08-09","294.8","250.8","2026-08-10","44","0","0","0","293","N","","",""
"2026-08-13","JJ2509257","X002E7NLMJ","B0FMJZ455L","3 Pcs Elastic Dreadlock Hair Tie Dreadlock Accessories extra long Elastic Hair Tie for Men and Women Ponytail Holders Loc hair ties for Long Dreads Braids Thick Curly Hair (Light)","New","18","0","0","19","0","0","0","0","0","GBP","1","1","3","4","Low traffic","3.99","0.0","3.99","0.0","Advertise listing","0","3.77","40","0","72.86","0.44","0.015579","cubic feet","Standard","0.280422","UK","gl_beauty","104302","366","0","152","123","3.99","3.32","3.32","9.96","13.28","19","0","0","0","0","0.15","20","20","0","0","0","0","","","","","","","","","","","","","","0","","","","180.0","2026-08-10","38","0","0","0","366","N","","",""
"2026-08-13","JJ2510150","X002FQ2QDJ","B0D9GTD85F","JYTDBCS 3Pcs Camping Cutlery Set Stainless Steel Flatware Travel Cutlery Set Tableware Kit for Knife, Fork and Spoon Set with Carabiner for Hiking Picnic, Office On-The-Go","New","50","0","0","52","0","0","0","0","0","GBP","0","0","3","14","Low traffic","7.49","0.0","7.49","0.0","NoRestockExcessActionRequired","7","0.0","0","0","84.56","0.64","0.010156","cubic feet","Standard","0.5078","UK","gl_kitchen","208652","366","0","","46","7.49","0.0","0.0","19.55","91.82","30","20","2","0","0","0.29","0","0","0","0","2","0","","","","","","","","","","","","","","0","","","","127.6","2026-08-10","50","2","0","0","366","N","","",""
"2026-08-13","JJ251029","X002FQ03TN","B0D8B7QC4R","Bike Handlebar Grips, Solid Color Children's Bike Handlebars, Soft Non-Slip Bicycle Handle Grip, Rubber Handle Cover Universal Kids Bike Grips for Boys and Girls Kids Bikes","New","17","0","0","18","0","0","0","0","0","GBP","3","11","18","22","Low traffic","5.69","0.0","5.69","0.0","NoRestockExcessActionRequired","0","0.0","0","0","74.06","1.4","0.013685","cubic feet","Standard","0.232645","UK","gl_outdoors","50032","57","0","6","10","5.69","14.22","52.14","85.32","104.28","0","18","0","0","0","0.15","0","0","0","0","1","0","","","","","","","","","","","","","81.6","12","2026-08-19","2026-08-09","81.6","78.4","2026-08-10","17","1","0","0","61","N","","",""
"2026-08-13","JJ2509223","X002E7O5CT","B0FJ7ZLKSM","TRHDFW 20pcs 25mm Plastic D Rings Semi Circular D Ring Plastic Webbing Strap Adjustment Ring Pom Fasteners Buckle for Belts Harnesses and Clothes","New","48","0","0","52","0","0","0","0","0","GBP","4","17","51","64","Low traffic","4.99","0.0","4.99","0.0","NoRestockExcessActionRequired","0","0.0","0","0","203.98","2.47","0.001766","cubic feet","Apparel","0.084768","UK","gl_apparel","274061","203","0","32","28","4.99","16.64","70.72","212.16","266.24","50","2","0","0","0","0.1","91","50","40","1","4","0","","","","","","","","","","","","","32.0","0","","2026-08-09","32.0","27.9","2026-08-10","139","4","0","0","304","N","","",""
"2026-08-13","JJ2510103","X002FPWA9F","B0D7LQHFQT","JYTDBCS 4pcs Eye Glasses Ear Cushion for Glasses anti slip glasses grips Grip Anti-Slip Elastic Comfort Temple Sleeves Eyewear Retainer Tip Glasses Ear Grips Eye Glasses Ear Grip","New","36","0","0","35","0","0","0","0","0","GBP","1","12","15","15","Low traffic","4.89","0.0","5.09","0.0","NoRestockExcessActionRequired","5","3.46","8","0","41.46","0.81","0.002523","cubic feet","Apparel","0.090828","UK","gl_apparel","102138","103","0","12","31","5.09","4.24","49.18","61.39","61.39","30","2","3","0","0","0.03","0","0","0","0","1","0","","","","","","","","","","","","","98.9","0","","2026-08-09","50.4","98.9","2026-08-10","36","1","0","0","106","N","","",""
"2026-08-13","JJ2510116","X002FQAWHL","B0DB5T5BBP","JYTDBCS Desk Mount Bag Holder Hook,Desk Bag Hook, Metal Desk Hanger Adjustable Under Table Purse Hook Clamp Portable Headphones Holder Clip Organizer for Women Girls Handbag, Reduce Desk Clutter","New","8","0","0","0","9","0","0","0","0","GBP","0","0","2","5","Low traffic","4.59","0.0","4.59","0.0","NoRestockExcessActionRequired","0","0.0","0","0","48.23","0.44","0.007063","cubic feet","Standard","0.056504","UK","gl_home","857300","366","8","","20","4.59","0.0","0.0","7.64","19.1","0","0","0","0","0","0.04","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","197.4","2026-08-10","8","1","0","0","366","N","","",""
