"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","afn-fulfillable-quantity-local","afn-fulfillable-quantity-remote","afn-fc-transfer-quantity","afn-onhand-buyable-quantity","store"
"DWG251101","X002G8PFUH","B0G29GLQ3H","Unisex Double-Sided Soft Winter Scarf, 180x21cm Warm Polyester Shawl Wrap, Classic Stylish Cold Weather Scarf for Men Women, Daily Outdoor & Festival Gift","New","6.19","No",,"Yes","0","0","0","0","0","99.96","0","0","0","0","0","0","0","0","0","0",
"DWG251102","X002G8GR31","B0G29LMMR6","Super Soft Classic Plaid Winter Casual Women's Scarf - Warm And Stylish","New","5.49","No",,"Yes","0","0","0","0","0","3645.3","0","0","0","0","0","0","0","0","0","0",
"DWG251103","X002G8GW7H","B0G29SNCKN","Double-Sided Soft Winter Scarf for Men Women, 160x27cm Warm Skin-Friendly Scarf, Classic Stylish Shawl Wrap for Cold Autumn Winter, Daily Wear & Festival Gift","New","6.09","No",,"Yes","0","0","0","0","0","3797.54","0","0","0","0","0","0","0","0","0","0",
"DWG251104","X002G8M4U1","B0G29T2D65","Women's Winter Scarf, Soft And Warm, With A Puppy Pattern Design","New","9.79","No",,"Yes","0","0","0","0","0","2956.55","0","0","0","0","0","0","0","0","0","0",
"DWG251105","X002G8SHLB","B0G2BD2BNN","Unisex Classic Plaid Winter Scarf for Men Women, Soft Warm Polyester Business Scarf, Light Gray with Red Stripes, 180x30cm Large Scarf & Shawl for Daily Office","New","5.19","No",,"Yes","0","0","0","0","0","2236.18","0","0","0","0","0","0","0","0","0","0",
"DWG251107","X002G8WBOZ","B0G2BJP9B9","Winter Scarf Solid Color Tassel Unisex Scarf - Warm And Stylish","New","8.79","No",,"Yes","0","0","0","0","0","4392.22","0","0","0","0","0","0","0","0","0","0",
"DWG251109","X002G900C9","B0G2BM15DC","Winter Scarf Solid Color Tassel Unisex Scarf - Warm And Stylish","New","6.79","No",,"Yes","1","0","0","1","1","5990.46","0","0","0","0","0","0","0","0","0","0",
"DWG251110","X002G90BYB","B0G2BKVMRS","Unisex Winter Scarf with Braided Tassel, Soft Warm Reversible Polyester Scarf, Large Wrap Shawl Blanket Scarf for Men Women, Casual Formal Wedding Travel Daily Wear","New","5.89","No",,"Yes","0","0","0","0","0","9230.51","0","0","0","0","0","0","0","0","0","0",
"DWG251111","X002G97P8B","B0G2BM2X3F","Black Reversible Winter Scarf for Women Men, Soft Warm Thick Polyester Scarf with Subtle Smile Pattern, Classic Comfortable Scarf for Cold Weather, Daily Wear Weddings Evening Wraps","New","5.89","No",,"Yes","0","0","0","0","0","4997.07","0","0","0","0","0","0","0","0","0","0",
"DWG251114","X002G9PNHV","B0G2FYYDVH","Warm Winter Knitted Scarf for Women - Red & Beige Color Block with Teddy Bear Embroidery, Soft & Cozy Neck Warmer","New","7.59","No",,"Yes","0","0","0","0","0","3963.7","0","0","0","0","0","0","0","0","0","0",
"DWG251115","X002G9POHZ","B0G2G9SG2Z","Red and White Checkered Knit Scarf - Soft and Comfortable Winter Scarf for Men and Women","New","6.89","No",,"Yes","0","0","0","0","0","3811.47","0","0","0","0","0","0","0","0","0","0",
"DWG251118","X002G9HKEZ","B0G2G7K7W5","Milk White Checkered Tassel Scarf for Women Men, Thick Warm Plaid Winter Scarf, OEKO-TEX Unisex Scarf & Shawl, Couple Style for Daily Outdoor Gift","New","5.19","No",,"Yes","0","0","0","0","0","6439.62","0","0","0","0","0","0","0","0","0","0",
