"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","DWG51144-1","X002J88EQL","B0GS5V3CVQ","2 Pieces Facial Hair Remover Spring Eyebrow Face Epilator Threading Tool Remove Hair from Upper Lip, Chin, Cheeks and Neck for Women Girls or Men (Black, Rose Red)","New","21","0","0","10","11","0","0","0","0","GBP","0","0","0","0","Low traffic","3.89","0.0","3.89","0.0","Advertise listing","21","0.0","0","0","0.23","0.0","0.003531","cubic feet","Standard","0.074151","UK","gl_beauty","334022","366","0","","","3.89","0.0","0.0","0.0","0.0","0","10","0","0","0","0.05","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","21","0","0","0","366","N","","",""
"2026-08-13","TB090","X00269S6BV","B0DMZNXKF8","2-pack Soap Dish, Soap Holder, Soap Saver, Easy Cleaning, Dry, Stop Mushy Soap,black soap dish (Black)","New","6","0","0","8","0","0","0","0","0","GBP","5","11","13","18","Low traffic","5.29","0.0","5.29","0.0","CreateShippingPlan","0","0.0","0","0","33.28","3.24","0.010903","cubic feet","Standard","0.065418","UK","gl_home","291060","27","0","2","4","5.29","22.05","48.51","57.33","80.13","5","3","0","0","0","0.05","0","0","0","0","1","0","","","","","","","","","","","","","47.7","12","2026-08-11","2026-08-09","46.3","47.7","2026-08-10","6","1","0","0","32","N","","",""
"2026-08-13","DWG2602111","X002IDMDMD","B0GLX1PBX5","12-Pack Metal Sewing Machine Bobbins, Universal for Home and Industrial Use, High-Hardness Flatbed Bobbins, Sewing Accessories Bottom Thread Cores","New","42","0","0","46","0","0","0","0","0","GBP","3","12","14","29","Low traffic","4.79","0.0","4.79","0.0","NoRestockExcessActionRequired","","","0","0","","1.57","0.003531","cubic feet","Standard","0.148302","UK","gl_kitchen","301700","91","0","14","18","4.79","14.37","57.48","67.06","138.91","30","16","0","0","0","","0","0","0","0","4","0","","","","","","","","","","","","","121.0","2","2026-08-23","2026-08-09","121.0","56.4","2026-08-10","42","4","0","0","99","N","","",""
"2026-08-13","RPADWG073","X002I0V8IB","B0GK18MXHH","Gay Pride Rainbow Flag Goose Enamel Pin Badge Jewelry for Dresses, Suits, Bags, Backpacks","New","21","0","0","16","7","0","0","0","0","GBP","0","2","3","7","Low traffic","4.01","0.0","4.01","0.0","NoRestockExcessActionRequired","0","0.0","0","0","66.78","0.36","0.003531","cubic feet","Apparel","0.074151","UK","gl_jewelry","704297","227","21","42","39","4.01","0.0","6.68","10.02","25.06","0","16","0","0","0","0.05","0","0","0","0","2","0","","","","","","","","","","","","","264.3","0","","2026-08-09","242.3","264.3","2026-08-10","21","2","0","0","257","N","","",""
"2026-08-13","DWG511225-1","X002JAXA7R","B0GSFNPDB4","Car Engine Start Stop Button Replace Cover Switch Trim Ring Sticker Compatible With E90 E92 E93 320i Car Interior Styling Accessories (Color : MBlack, Size : 1PCS)","New","14","0","0","0","14","0","0","0","0","GBP","0","0","0","1","Low traffic","5.49","0.0","5.49","0.0","Advertise listing","","","0","0","","0.07","0.003531","cubic feet","Standard","0.049434","UK","gl_biss","651505","366","0","","182","5.49","0.0","0.0","0.0","5.49","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","1274.0","2026-08-10","14","0","0","0","366","N","","",""
"2026-08-13","DWG51024","X002FOC6SV","B0FXMF3NDD","Pack of 6 Light Mixed Brown 20mm Round Faux Horn Sew On Plastic Buttons for Coats Jackets Cardigans Flat 4 Holes","New","20","0","0","20","0","0","0","0","0","GBP","1","11","27","34","Low traffic","5.19","0.0","5.19","0.0","NoRestockExcessActionRequired","20","0.0","0","0","0.0","1.56","0.003531","cubic feet","Standard","0.07062","UK","gl_office_product","225696","90","0","14","15","5.19","4.32","49.22","122.06","155.24","2","18","0","0","0","0.04","20","0","20","0","0","0","","","","","","","","","","","","","69.1","10","2026-08-12","2026-08-09","69.1","58.7","2026-08-10","40","0","0","0","90","N","","",""
"2026-08-13","DWG51154","X002G1PW9D","B0D1BPNNBD","TRHDFW Rice Ball Mold with Mini Rice Scoop, DIY Sticky Rice Molds Large Ball Mold Kitchen Tool Rice Ball Maker Shake, Rice Roll Shaker Ball Maker for Kids","New","33","1","0","34","0","0","0","0","0","GBP","4","11","17","25","Low traffic","3.79","0.0","3.69","0.0","NoRestockExcessActionRequired","34","0.0","0","0","0.0","1.35","0.004573","cubic feet","Standard","0.150909","UK","gl_kitchen","159762","110","0","12","17","3.69","12.64","34.76","53.72","81.0","34","0","0","0","0","0.1","0","0","0","0","0","0","","","","","","","","","","","","","59.8","0","","2026-08-09","57.8","59.8","2026-08-10","34","0","0","0","110","N","","",""
"2026-08-13","DWG51146","X002G1W2RD","B0D5Y9977Z","JYTDBCS Security Camera Bracket,2pcs Ring Pendants,360 Adjustable Security Camera Mounting Bracket,Indoor and Outdoor Installation","New","39","1","0","43","0","0","0","0","0","GBP","10","24","39","44","Low traffic","4.89","0.0","4.89","0.0","NoRestockExcessActionRequired","40","0.0","0","0","0.0","2.95","0.002161","cubic feet","Standard","0.084279","UK","gl_home_improvement","106332","116","0","11","20","4.89","40.7","97.68","158.73","179.08","43","0","0","0","0","0.06","30","0","30","0","0","0","","","","","","","","","","","","","18.9","0","","2026-08-09","18.9","17.4","2026-08-10","70","0","0","0","116","N","","",""
"2026-08-13","DWG2602084","X002IEVN9B","B0GMBT5N3W","2pcs Beaded Eyeglasses Chain for Women, Bead Glasses Strap Lanyard Eyeglass Necklace String Holders Around Neck Fashionable Eyewear Accessories Gift (Black, Grey)","New","21","0","0","21","0","0","0","0","0","GBP","3","5","8","9","Low traffic","4.99","0.0","4.99","0.0","NoRestockExcessActionRequired","","","0","0","","1.0","0.015425","cubic feet","Apparel","0.323925","UK","gl_apparel","315308","121","0","16","30","4.99","12.48","20.8","34.27","38.93","20","0","1","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","82.6","0","","2026-08-09","80.0","82.6","2026-08-10","21","0","0","0","121","N","","",""
"2026-08-13","Y1163","X0026OITH7","B0DP9R26WS","2 Pieces Hippie Retro Sunglasses 60's Style Round Colored Glasses Fancy Dress Costume Accessories,retro glasses round","New","52","0","0","52","0","0","0","0","0","GBP","0","6","25","41","Low traffic","4.99","0.0","4.99","0.0","NoRestockExcessActionRequired","25","3.38","15","0","64.71","2.05","0.004683","cubic feet","Standard","0.243516","UK","gl_toy","367608","366","0","48","22","4.99","0.0","24.96","104.0","168.01","50","2","0","0","0","0.16","20","0","20","0","0","0","","","","","","","","","","","","","200.5","0","","2026-08-09","200.5","55.8","2026-08-10","72","0","0","0","366","N","","",""
