"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","afn-fulfillable-quantity-local","afn-fulfillable-quantity-remote","afn-fc-transfer-quantity","afn-onhand-buyable-quantity","store"
"DLH250801-1","X002JBUPG5","B0GSFJFLD7","CVNRCLP Rückenkratzer aus Holz, Manuelles Massagegerät mit Verlängertem Design, Gratfreier Massagestab für Nacken Rücken Schulter, für Zuhause Büro","New","9.79","No",,"Yes","0","0","0","0","0","413.94","0","0","0","0","0","0","0","0","0","0",
"DLH250802","X002DPHA5B","B0FMK6GD9R","60 Geburtstag Schärpe Tiara - Roségold Königin Tiara und für Frauen, Strass Kronen Kit für 60 Geburtstag Geschenke, Kristall Satin Schärpe für 60","New","7.29","No",,"Yes","34","34","0","0","34","1663.61","0","0","0","0","0","0","34","0","0","34",
"DLH250803","X002DQ0X0J","B0FMNS1P7J","CVNRCLP 16 Stück Nasenklammern mit Schaumstoffpolsterung, Blaue Kunststoff Nasenclips, Leichte Tragbare Nasenhalter für Erwachsene, Geeignet für Sport und Alltag","New","7.29","No",,"Yes","7","7","0","0","7","99.96","0","0","0","0","0","0","7","0","0","7",
"DLH250804","X002DQ3DAL","B0FMNTYJZY","3 Stück Servierzange aus Edelstahl, 21,5 cm, Lebensmittelechte Kochzange mit Rutschfestem Griff, Für Kochen, Grillen & Servieren","New","6.59","No",,"Yes","3","0","0","2","3","572.73","0","0","0","1","0","0","0","0","0","0",
"DLH250805","X002DPFZ0X","B0FMK7RGQJ","Zeltheringe aus Kunststoff, robuste Kunststoff-Zeltnägel zur Befestigung von Campingzelt, Regenplanen, Garten, Unkrautmatte, 20 Stück","New","5.99","No",,"Yes","30","30","0","0","70","99.96","0","40","0","0","0","0","30","0","0","30",
"DLH250807","X002DPDO9H","B0FMK1C6GS","4 Stück Finger-Essstäbchen, wiederverwendbare Pinzette, Lebensmittel-Clips, Kunststoff-Finger-Essstäbchen für Gamer, halten Sie sauber, Spielzubehör, Heimgeräte (schwarz)","New","4.99","No",,"Yes","9","9","0","0","89","99.96","40","40","0","0","0","0","9","0","0","9",
"DLH250808","X002DQEX4B","B0FMFBLBLM","Kunststoff-Schwert-Plektren für Lebensmittel, Zahnstocher, Obstgabel, Cocktailspieße, mehrfarbig","New","7.99","No",,"Yes","85","50","0","0","85","99.96","0","0","0","0","0","0","50","0","35","85",
"DLH250809","X002DQ6EQV","B0FMP1DG97","Handflächenbürste mit Bambusborsten für sanfte Fellpflege, für Hund, Katze, Welpe mit kurzem Haar, glattes Fell, handgefertigt aus natürlichem nachhaltigem Bambus, Braun","New","6.49","No",,"Yes","1","0","1","0","16","439.34","15","0","0","0","0","0","0","0","0","0",
"DLH250812","X002DPWX6R","B0FMNPLHSS","CVNRCLP Spiral-Ohrdehner, Acryl, Schwarz, 8 Stück, Acryl","New","5.59","No",,"Yes","20","20","0","0","20","99.96","0","0","0","0","0","0","20","0","0","20",
"DLH250813","X002DPE9FZ","B0FMJY3FTJ","Glasöffner für schwache Arthritis-Hände, universeller verstellbarer Schraubenschlüssel, Glasöffner, Ratschen-Set, verstellbarer Schraubenschlüssel, Riemenschlüssel, Öffner, Arthritis","New","4.99","No",,"Yes","0","0","0","0","0","367.07","0","0","0","0","0","0","0","0","0","0",
"DLH250814","X002DPDWPX","B0FMFD2BTR","CVNRCLP 2 Stück Salatbesteck Edelstahl Salat-Servierset Salatbesteck Salatbesteck Salatlöffel Salatgabel","New","6.39","No",,"Yes","10","10","0","0","60","272.35","25","25","0","0","0","0","10","0","0","10",
"DLH250815","X002DP947D","B0FMK5TX8V","4 Stück Spannverschluss aus Edelstahl mit Schrauben, Federknebelverschluss, Schnappschelle Clip, Kastenverschluss, Kappenschloss für Werkzeugkasten, Schublade, Truhe, Koffer, Schrank","New","5.19","No",,"Yes","31","31","0","0","31","99.96","0","0","0","0","0","15","31","0","0","31",
"DLH250817","X002DPAVP7","B0FMK4X5C1","CVNRCLP 2 Stück Truthahn-Bratenspritze groß, Huhn, Backpipette, Aquarium-Injektor, Kunststoff-Tropfgummikopf","New","7.69","No",,"Yes","22","22","0","0","62","1482.87","20","20","0","0","0","0","22","0","0","22",
"DLH250819","X002DPGE0N","B0FMK7KNF9","CVNRCLP 6er Set Federstäbe für Katzen - Variable Farbe - Farbige Federn - Interaktives Katzenspielzeug mit Glocken für Katzen und Kätzchen","New","7.19","No",,"Yes","16","13","0","3","61","1554.64","15","30","0","0","0","0","13","0","0","13",
"DLH250820","X002DP2VTV","B0FMJR8M77","Hundeleine Große Hunde Kleine Hunde Leicht Mittelgroße Leine Hund Verstellbar Kordelzug Einstellbare Länge Metallschnalle Am Griff Haken Zinklegierung","New","3.99","No",,"Yes","0","0","0","0","0","99.96","0","0","0","0","0","0","0","0","0","0",
"DLH250821","X002DQE4OZ","B0FMFGBTNW","Große Haarspangen für Damen, schlichte, matte Haarspangen, Vintage-Stil, einfarbig, modischer Haarschmuck für dickes, dünnes Haar, 3 Stück","New","5.29","No",,"Yes","0","0","0","0","0","99.96","0","0","0","0","0","0","0","0","0","0",
"DLH250822","X002DPETBJ","B0FMK23WW8","Matcha-Sieb & loser Teesieb | Metall feinmaschig Edelstahl | Mini Puderzuckersieb | Teefilter | kleines Matcha-Sieb in Gold (1)","New","7.29","No",,"Yes","9","8","0","1","49","288.74","20","20","0","0","0","30","8","0","0","8",
"DLH250823","X002DQD52R","B0FMF8Z9HH","Haarbürste mit Wildschweinborsten, glatte Rückseite, für geschmeidigen Pferdeschwanz und Glättung von Babyhaaren, Flyaways, Kantenkontrolle, Backcombing & Teasing Haarbürste mit breitem Rattenschwanz","New","5.49","No",,"Yes","1","0","1","0","1","345.93","0","0","0","0","0","0","0","0","0","0",
"DLH250824","X002DPFOFJ","B0FMK612G9","CVNRCLP Wiederverwendbare Netz-Weinflaschenhüllen – 22 cm Schutzhüllen für Likör- und Weinflaschen – langlebige und sichere Flaschenschutzhüllen, 30 Stück, weiß, Leicht, wiederverwendbar","New","6.29","No",,"Yes","4","4","0","0","4","413.94","0","0","0","0","0","0","4","0","0","4",
"DLH250825","X002DPAL6V","B0FMK1DFVH","CVNRCLP Robuste Saugnäpfe, Anker, Mehrzweck-Camping-Saugnapf-Haken für Zuhause, Outdoor, Auto, Van, LKW, Markise, Bootsplane (2)","New","6.19","No",,"Yes","18","18","0","0","18","99.96","0","0","0","0","0","0","18","0","0","18",
"DLH250826","X002DPH371","B0FMKB3G4M","CVNRCLP Lustige Küchenschürze Sexy Schürze 3D-lustige Kochschürze Sexy Mann-Frau-Schürze Neuheit Erwachsene für Geburtstagsfeier urkomisches Streiche Geschenk Witz Frauen Küche BBQ Party","New","6.89","No",,"Yes","3","3","0","0","93","99.96","30","60","0","0","0","0","3","0","0","3",
"DLH250827","X002DPDWF3","B0FMK44DDD","CVNRCLP Sturmhaube, Skelett-Kostüm, Ganzkopf-Ski-Schlauchschal, gestrickt, Winddicht, wärmend, Kopfbedeckung für Fahrrad, Skateboard, Motorrad, Snowboard, Outdoor-Sport, Schwarz, Schwarz","New","10.10","No",,"Yes","34","33","1","0","144","99.96","80","30","0","0","0","0","33","0","0","33",
"DLH250828","X002DPAXWD","B0FMK56W9L","Küchenabflusssieb aus Silikon mit Edelstahlrand | Küchenspüle Abflussabdeckung | Abflusssieb zum Auffangen von Lebensmittelverstopfungen | Lebensmittelauffangsieb | Küchenstöpsel Abflusssieb","New","7.89","No",,"Yes","27","27","0","0","27","768.39","0","0","0","0","0","0","27","0","0","27",
"DLH250829","X002DP5J59","B0FMJ4SLZ4","CVNRCLP Küchenschrankgriffe aus Edelstahl, gebürstet, Lochmitte, 2 Stück","New","4.29","No",,"Yes","0","0","0","0","0","99.96","0","0","0","0","0","0","0","0","0","0",
"DLH250830","X002DP91WV","B0FMK56WDW","CVNRCLP Titan-Stahl-Schmuck, Punk-Geist, Geist, Rock, Kreuz, Edelstahl, Anhänger, Halskette, Geisterband, Merchandise, M, Edelstahl","New","4.89","No",,"Yes","15","14","0","1","15","99.96","0","0","0","0","0","0","14","0","0","14",
