"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory cost coverage fee?","Low-Inventory cost coverage fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","RPALHDE155","X002H2TKQR","B0G8JW1FK6","CVNRCLP Vogelkäfig Bürste, Papageienkäfig Reinigungsbürste mit Schaufel und Ergonomischem Griff, Vogelkäfig Zubehör für die Reinigung von Vogelkäfigen","New","27","0","0","0","27","0","0","0","0","EUR","0","0","1","3","Low traffic","6.19","0.0","6.19","0.0","NoExcessInventory","0","0.0","0","0","34.54","0.14","3.6E-4","cubic meter","Standard","0.009727","DE","gl_pet_products","156786","366","27","","117","6.19","0.0","0.0","5.54","16.62","0","0","0","0","0","0.13","0","0","0","0","0","0","","","","","","","","","","","","","","5","","0","","","","","","363.6","2026-08-10","27","0","0","0","366","N","","",""
"2026-08-13","RPALHDE111","X002H1P55N","B0G7YNWRYV","Kekse Haarnadeln Mini Gefälschte Kekse Haarspangen Cartoon Haarschmuck Kreative Haarspange Für Frauen (4pcs)","New","33","0","0","30","3","0","0","0","0","EUR","0","3","7","15","Low traffic","6.59","0.0","6.59","0.0","Create Outlet deal","0","5.59","2","0","163.6","0.64","1.0E-4","cubic meter","Standard","0.0033","DE","gl_beauty","168660","194","33","84","54","6.59","0.0","16.96","40.44","87.4","0","30","0","0","0","0.08","30","30","0","0","0","0","","","","","","","","","","","","","348.7","11","","0","","2026-08-10","Yes","No","348.7","114.5","2026-08-10","63","0","0","0","366","N","","",""
"2026-08-13","RPALHDE046","X002GT02F9","B0G5K915YX","Wiederverwendbarer Weißer Jumbo-Reispaddel-Löffel – Großes Kunststoff-Servierbesteck für Reis & Kartoffeln, 25 cm","New","20","0","0","20","0","0","0","0","0","EUR","0","4","14","17","Low traffic","5.59","0.0","5.59","0.0","Create Outlet deal","0","4.39","2","0","74.46","1.33","3.07E-4","cubic meter","Standard","0.006142","DE","gl_kitchen","798449","366","0","45","34","5.59","0.0","18.8","65.17","79.0","20","0","0","0","0","0.15","25","0","25","0","0","0","","","","","","","","","","","","","52.9","9","","0","","2026-08-10","Yes","No","13.7","52.9","2026-08-10","45","0","0","0","366","N","","",""
"2026-08-13","RPALHDE165","X002H23WUR","B0G87MJZVQ","4 Stück Haarband Damen, Elastisches Sport Stirnband rutschfeste Stirnband Damen für Yoga Fitness Joggen Workout (Schwarz, Beige, Braun, Dunkelbraun)","New","19","0","0","0","19","0","0","0","0","EUR","0","3","4","4","Low traffic","5.99","0.0","5.99","0.0","Create Outlet deal","0","5.19","2","0","101.51","0.18","1.0E-4","cubic meter","Standard","0.0019","DE","gl_sports","1114995","206","19","25","61","5.99","0.0","15.09","20.12","20.12","0","0","0","0","0","0.05","0","0","0","0","0","0","","","","","","","","","","","","","502.0","2","","0","","2026-08-10","Yes","No","207.3","502.0","2026-08-10","19","0","0","0","206","Y","Holiday Season","2026-09-19","2027-02-20"
"2026-08-13","DLH251148","X002GG425N","B0G3H5D85K","CVNRCLP Damen-Baskenmütze mit Metallverschluss, Retro-Elegant, Damendekor-Hut, Schwarz","New","8","0","0","0","0","8","0","0","0","EUR","0","0","1","1","Low traffic","7.19","0.0","7.19","0.0","Create Outlet deal","0","0.0","0","0","119.92","0.12","0.001877","cubic meter","Apparel","0.01502","DE","gl_apparel","1523302","177","8","","104","7.19","0.0","0.0","6.21","6.21","0","0","0","8","0","0.28","0","0","0","0","0","0","","","","","","","","","","","","","","1","","0","","","","","","778.0","2026-08-10","8","0","0","0","177","N","","",""
"2026-08-13","DLH250935","X002EKP95D","B0FR8VHS4W","Anti-Schnarch-Kinnband Schlafapnoe – kinnmaske schlafen​mit Atmungsaktivem Design, Flexibles Gummi zur Schmerzfrei-Atmung, kinnmaske für Männer & Frauen | kinnband Schlafapnoe Stoppt Schnarc","New","20","0","0","20","0","0","0","0","0","EUR","0","0","5","6","Low traffic","4.89","0.0","4.89","0.0","NoRestockExcessActionRequired","0","0.0","0","0","87.2","0.93","6.85E-4","cubic meter","Standard","0.013703","DE","gl_drugstore","312807","366","0","","43","4.79","0.0","0.0","20.15","24.18","20","0","0","0","0","0.05","0","0","0","0","0","0","","","","","","","","","","","","","","3","","0","","","","","","42.8","2026-08-10","20","0","0","0","366","N","","",""
"2026-08-13","DLH250864","X002DPHQEB","B0FMKDHQFS","Piercingkugeln 16G 5mm Ersatzkugeln für Piercing Schmuck Chirurgenstahl Bauchnabelstangen Zungenpiercing Neun Muttern Ohrläppchen Haken Augenbrauen Industrial Piercings Lippenklappen Lippenklammern","New","0","20","0","20","0","0","0","0","0","EUR","3","5","9","10","Low traffic","3.85","0.0","3.85","0.0","CreateShippingPlan","0","0.0","0","0","94.89","0.91","1.0E-4","cubic meter","Apparel","0.0","DE","gl_jewelry","288211","218","0","0","0","3.89","9.72","16.2","29.16","32.4","20","0","0","0","0","0.05","0","0","0","0","0","0","","","","","","","","","","","","","78.8","5","","0","","2026-08-10","Yes","No","36.3","78.8","2026-08-10","20","0","0","0","218","N","","",""
"2026-08-13","RPALHDE022","X002GTS85P","B0G5PWZW2C","CVNRCLP 3pcs Mini Travel Jewelry Bags, Portable & Foldable Small Jewelry Holder Pouch with 12pcs Dust Bags Buckle Design for Women Earring Ring Necklace Organizer Case Supplies","New","15","0","0","15","0","0","0","0","0","EUR","0","0","0","2","Low traffic","7.29","0.0","7.29","0.0","Advertise listing","0","0.0","0","0","37.04","0.15","1.0E-4","cubic meter","Standard","0.0015","DE","gl_home","2609386","366","0","","97","7.29","0.0","0.0","0.0","14.28","0","15","0","0","0","0.04","0","0","0","0","0","0","","","","","","","","","","","","","","3","","0","","","","","","639.0","2026-08-10","15","0","0","0","366","N","","",""
"2026-08-13","DLH250926","X002DQ132V","B0FMNZNFBV","CVNRCLP Iron Man Sonnenbrille Europa und die Vereinigten Staaten Fashion Square Frame Spiderman mit Sonnenbrille Herren Trend Brillen Hersteller Sonnenbrillen Herren Brillen & Accessoires, rot","New","24","0","0","1","2","22","0","0","0","EUR","0","2","3","5","Low traffic","6.19","0.0","6.19","0.0","Create Outlet deal","1","5.59","2","0","57.06","0.25","1.0E-4","cubic meter","Footwear","0.0024","DE","gl_shoes","838784","222","23","48","62","6.19","0.0","10.4","15.6","27.34","1","0","0","22","0","0.04","0","0","0","0","1","0","","","","","","","","","","","","","763.0","11","","0","","2026-08-10","Yes","No","763.0","415.5","2026-08-10","24","1","0","0","236","N","","",""
"2026-08-13","RPALHDE153","X002H23847","B0G83S3R4G","CVNRCLP BNC Stecker Lötlose Steckverbinder Schraube Anschlussblock Adapter Video 2 Polig Balun Steckverbinder für CCTV Überwachungskamera DVR TV Video-5pcs (BNC Stecker)","New","15","0","0","15","0","0","0","0","0","EUR","0","6","17","20","Low traffic","6.79","0.0","6.79","0.0","NoExcessInventory","15","0.0","0","0","0.0","1.14","1.0E-4","cubic meter","Standard","0.0015","DE","gl_electronics","190862","347","0","56","55","6.79","0.0","34.24","98.81","116.85","0","15","0","0","0","0.03","70","0","70","0","0","0","","","","","","","","","","","","","89.3","21","Low stock","0","","2026-08-10","Yes","No","89.3","79.7","2026-08-10","85","0","0","0","347","N","","",""
