"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","LH601266","X002HTAHD5","B0DBQD6HT3","JYTDBCS Long/Elongated Biscuits Cookie Maker Schablone/Bar ~8cm Meat Mincer Attachment, 4 Patterns Churros Dough Pastry Maker","New","25","0","0","1","26","0","0","0","0","GBP","0","1","2","3","Low traffic","4.19","0.0","4.19","0.0","Advertise listing","25","0.0","0","0","0.0","0.14","0.001236","cubic feet","Standard","0.0309","UK","gl_kitchen","","243","0","100","108","4.29","0.0","3.49","6.98","10.47","0","0","1","0","0","0.02","0","0","0","0","2","0","","","","","","","","","","","","","829.0","0","","2026-08-09","829.0","430.3","2026-08-10","25","2","0","0","269","N","","",""
"2026-08-13","LH601132","X002HSR0Y5","B0FLJQSX57","2 Pcs Professional Dog Whistle 210.5, Plastic Dog Training Whistles with Lanyard, High Pitch Dog Whistles for Recall Bark Control","New","7","0","0","9","0","0","0","0","0","GBP","2","14","28","30","Low traffic","5.89","0.0","5.89","0.0","NoRestockExcessActionRequired","0","0.0","0","0","35.79","3.64","0.003531","cubic feet","Standard","0.024717","UK","gl_pet_products","47746","228","0","20","31","5.89","9.82","68.74","137.8","148.28","9","0","0","0","0","0.02","65","0","65","0","2","0","","","","","","","","","","","","","33.2","0","","2026-08-09","23.5","33.2","2026-08-10","72","2","0","0","235","N","","",""
"2026-08-13","LH601118","X002HSNETZ","B0FJ8JYB5B","Artificial Fishing Worms Night Crawlers, Trout Worms, 10cm Worm Shaped Fishy Smell Soft Lure Baits with Box for Anglers Bait Earthworm","New","54","0","0","60","0","0","0","0","0","GBP","5","16","28","31","Low traffic","4.59","0.0","4.59","0.0","NoRestockExcessActionRequired","0","0.0","0","0","209.56","1.77","0.007063","cubic feet","Standard","0.381402","UK","gl_sports","35182","192","0","14","23","4.59","19.1","61.29","109.17","121.72","60","0","0","0","0","0.13","2","0","0","2","4","0","","","","","","","","","","","","","49.6","0","","2026-08-09","49.6","35.6","2026-08-10","56","4","0","0","209","N","","",""
"2026-08-13","LH51190","X002FQFUNH","B0DBR3MJH2","JYTDBCS Chrome Plated Metal Bathtub Pop Up Plug - Bath Tub Plug Replacement, Click Clack Stopper for Drain Cover","New","23","0","0","23","0","0","0","0","0","GBP","3","13","23","32","Low traffic","7.99","0.0","7.99","0.0","NoRestockExcessActionRequired","23","0.0","0","0","0.0","2.54","0.010536","cubic feet","Standard","0.242328","UK","gl_home","225324","53","0","7","9","7.99","19.98","86.58","153.18","213.12","22","1","0","0","0","0.16","0","0","0","0","0","1","","","","","","","","","","","","","37.1","17","2026-08-12","2026-08-09","37.1","29.9","2026-08-10","23","0","0","0","53","N","","",""
"2026-08-13","LH101503","X0023RAWYZ","B0DDFTMJ6Z","6-Piece Adjustable Scarf Ring Clips – Metal Circle Tie Clips for Women & Girls – Versatile Shirt Waist Cincher & Knotted Buckles for Dresses, Sweaters, & Shawls","New","1","0","0","1","0","0","0","0","0","GBP","0","1","4","9","Low traffic","5.19","0.0","5.19","0.0","CreateShippingPlan","1","0.0","0","0","0.0","0.9","0.008899","cubic feet","Apparel","0.008899","UK","gl_jewelry","579482","13","0","4","1","5.19","0.0","4.32","17.62","40.92","0","1","0","0","0","0.0","0","0","0","0","0","0","","","","","","","","","","","","","361.0","6","2026-08-06","2026-08-09","361.0","111.9","2026-08-10","1","0","0","0","13","N","","",""
"2026-08-13","LH601162","X002HTKNXT","B0FQ5C8RXT","Metal French Hair Pin for Women - Gold U Shaped Pin for Thick and All Hair Types, Sticks for Buns, Twist, Fork - 1pc","New","21","0","0","25","3","0","0","0","0","GBP","4","9","26","29","Low traffic","4.29","0.0","4.29","0.0","NoRestockExcessActionRequired","3","0.0","0","0","42.97","1.12","0.003531","cubic feet","Standard","0.074151","UK","gl_beauty","57534","163","48","22","22","4.29","14.28","32.13","95.2","105.91","25","0","0","0","0","0.05","30","0","30","0","3","0","","","","","","","","","","","","","108.5","0","","2026-08-09","108.5","83.2","2026-08-10","51","2","1","0","174","N","","",""
"2026-08-13","LH601045","X002HS5BK5","B0FGPMXV1G","Flexible Silicone Dough Scraper Cutter, Large 13.5x9CM, Multipurpose Pastry Scraper Nonstick, Food Grade Bowl Scraper Spatula Bench Tool for Baking Bread Sourdough Cake Pizza, Grey","New","30","0","0","30","0","0","0","0","0","GBP","2","2","6","12","Low traffic","3.79","0.0","3.79","0.0","NoRestockExcessActionRequired","28","0.0","0","0","0.0","0.63","4.1E-5","cubic feet","Standard","0.00123","UK","gl_kitchen","","114","0","60","32","3.79","6.32","6.32","18.96","38.88","0","30","0","0","0","0.05","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","154.6","2026-08-10","30","0","0","0","114","N","","",""
"2026-08-13","LH1018782","X0024DIGMD","B0DG4RKXC3","CVNRCLP 2-Pack Canvas Ballet Shoe Bags - Personalized Cotton Duster Pouches with Drawstring Closure for Pointe Shoe Storage - Portable Dance Backpacks for Travel & Multipurpose Use","New","10","0","0","10","0","0","0","0","0","GBP","0","0","3","5","Low traffic","4.19","0.0","4.19","0.0","NoRestockExcessActionRequired","0","0.0","0","0","40.27","0.5","0.007946","cubic feet","Standard","0.07946","UK","gl_luggage","887590","225","0","","26","4.19","0.0","0.0","10.47","17.79","0","0","10","0","0","0.06","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","194.0","2026-08-10","10","0","0","0","225","N","","",""
"2026-08-13","LH2018902","X0025DKBDJ","B0DJNTV8NP","CVNRCLP Women's Long Black Fingerless Arm Warmers – Thermal Stretchy Knit Gloves with Thumb Hole, Elbow Length Winter Gloves for Enhanced Warmth & Style","New","13","0","0","13","0","0","0","0","0","GBP","3","9","13","15","Low traffic","4.79","0.0","4.79","0.0","NoRestockExcessActionRequired","13","0.0","0","0","0.0","1.46","0.008476","cubic feet","Apparel","0.110188","UK","gl_apparel","153932","66","0","14","28","4.79","11.97","35.91","52.55","61.87","13","0","0","0","0","0.05","20","0","20","0","0","0","","","","","","","","","","","","","74.5","12","2026-08-31","2026-08-09","51.6","74.5","2026-08-10","33","0","0","0","66","Y","Holiday Season","2026-09-19","2027-03-06"
"2026-08-13","LH601083","X002HSOE8F","B0FGXY2XP6","2040 PCS Self Adhesive Photo Corners for DIY Craft Picture Clear Edge Stickers Decorative Mounting Albums Scrapbook Journal（20 sheets in total）","New","27","0","0","25","2","0","0","0","0","GBP","0","0","3","8","Low traffic","4.99","0.0","4.99","0.0","NoRestockExcessActionRequired","0","0.0","0","0","58.13","0.59","0.002617","cubic feet","Standard","0.070659","UK","gl_home","1081941","366","27","","43","4.99","0.0","0.0","12.48","33.28","15","10","0","0","0","0.07","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","112.6","2026-08-10","27","0","0","0","366","N","","",""
