"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","afn-fulfillable-quantity-local","afn-fulfillable-quantity-remote","afn-fc-transfer-quantity","afn-onhand-buyable-quantity","store"
"D1103","X0026W82BR","B0DPWCDR7Z","Boho Kopf Kette Gold Vintage Kopfschmuck Geschnitzte Wassertropfen Quaste Haarschmuck Festival Stirnband für Frauen und Mädchen","New","3.39","No",,"Yes","0","0","0","0","0","54.08","0","0","0","0","0","0","0","0","0","0",
"D1104","X0026WFG7P","B0DPWK3NVN","Boho Mond Stirnband Gold Stern Kopfschmuck Festival Haarschmuck Blume Braut Hochzeit Haarkette Schmuck für Frauen und Mädchen","New","4.29","No",,"Yes","0","0","0","0","0","91.77","0","0","0","0","0","0","0","0","0","0",
"D1107","X0026WHQIH","B0DPW9DBV6","Eierseparator, Eigelbabscheider, Eigelbabscheider, aus lebensmittelechtem Edelstahl 304, spülmaschinengeeignet","New","4.99","No",,"Yes","7","4","0","2","7","297.43","0","0","0","1","0","0","4","0","0","4",
"D1109","X0026VQW5L","B0DPWCB5HQ","Traubenschneider, Obstschneider für Kleinkinder, Baby, Trauben, Kirschtomaten, Erdbeerschneider, Viertelschneider Werkzeug für Gemüse, Obstsalat, Kuchendekoration, Küchenhelfer aus Edelstahl","New","7.09","No",,"Yes","20","19","0","0","20","408.04","0","0","0","0","0","0","19","0","1","20",
"D1110","X0026XOFV7","B0DPX3WCRJ","Packung mit 3 Spiralschneidern, Twister-Spiralwerkzeug aus Edelstahl, manueller Spiralschneider für Gemüse, Obst, Chips, Gurken, Karotten","New","6.39","No",,"Yes","0","0","0","0","0","309.39","0","0","0","0","0","70","0","0","0","0",
"D1111","X0026WAK3F","B0DPW9PPM5","Zwiebelhalter Edelstahl, Gemüse Fixierhilfe zum Schneiden von Zwiebeln, Tomaten, Gurken und Fleisch, rutschfeste Griff Küchenhelfer für Haushalt & Küche","New","5.99","No",,"Yes","19","19","0","0","19","332.49","0","0","0","0","0","0","19","0","0","19",
"D1113","X0026XVQAZ","B0DPX55M1K","Knoblauchschäler und Knoblauchreibe wie Knoblauchpresse - Den Knoblauch in Sekundenschnelle schälen und reiben, mühelos schälen und unberührt reiben","New","4.29","No",,"Yes","0","0","0","0","0","694.65","0","0","0","0","0","0","0","0","0","0",
"D1114","X0026XS75R","B0DPX4MSRP","Apfelentkerner aus Edelstahl mit Aufhängeschlaufe, praktischer Obstkernentferner für Äpfel, Birnen, Oliven, leichtes Herausnehmen von Fruchtkernen, Küchenhelfer für tägliche Obstverarbeitung","New","4.29","No",,"Yes","1","1","0","0","1","39.98","0","0","0","0","0","0","1","0","0","1",
"D1116-1","X0026Y9UTX","B0DPYCR9PK","Dänischer Schneebesen für perfekten Teig im Nu, hochwertiger Teigbesen als Brotbackzubehör, Teigrührer, Teigkneter, Dänischer Schneebesen als Brotbackzubehör","New","6.49","No",,"Yes","20","20","0","0","20","660.07","0","0","0","0","0","20","20","0","0","20",
"D1121-1-1","X002MN5WI1","B0H6MMSPHG","RSYHVG 2 Stück Fischgrätenpinzette aus poliertem Edelstahl, Flach- und Schrägzange zum Entfernen von Fischknochen Geflügel- und Schweinehaaren Küchenhelfer 12x2cm","New","6.39","No",,"Yes","5","5","0","0","5","258.75","0","0","0","0","0","0","5","0","0","5",
"D1128","X0026YHYHD","B0DPZGLGLZ","Doppelte Leinen/Hundeleine Doppelleine für 2 Hunde/Keine Verwicklung Reflektierend Kletterseil/Verstellbar Splitterleinen","New","7.09","No",,"Yes","27","27","0","0","27","149.94","0","0","0","0","0","0","27","0","0","27",
"D1130","X0026YORYB","B0DPZGHWLM","4x Heizungsentlüftungsschlüssel Schwarz, für alle Heizkörper Entlüftungsschlüssel, ROBUST & STABIL, mindert Geräusche, Entlüfter","New","4.29","No",,"Yes","1","0","0","0","1","12.45","0","0","0","1","0","0","0","0","0","0",
"D1132","X0026YHYN7","B0DPZGHL96","Tür Sicherheitskette Kettenschloss Türkette aus Edelstahl Gießen Türsicherung Front Kette Kratzschutz mit Schrauben Hardware Hotel Familie Innentüren Türen Fenster Silber gebürstetes Chrom","New","5.89","No",,"Yes","10","7","0","2","10","59.98","0","0","0","1","0","0","7","0","0","7",
"D1133","X0026YPTV1","B0DPZHS42S","Edelstahl türscharniere für holztüren Stahl Kugelgelagert Kugellager Scharniere Silber edelstahl für Haustüre Zimmertür, 1 Paar","New","5.59","No",,"Yes","22","21","0","1","22","374.94","0","0","0","0","0","0","21","0","0","21",
"D1135","X0026XS775","B0DPX4S3J3","Leder Knebelverschlüsse Knöpfe Verschlussjacken 4 Paar kleine geknöpfte Kunstledermäntel Jacken Strickwaren Windjacken Harzknöpfe für Kinderbekleidung Hornknöpfe (Schwarz)","New","4.79","No",,"Yes","0","0","0","0","0","63.25","0","0","0","0","0","0","0","0","0","0",
"D1137","X0026XVP0V","B0DPX4HG5W","Packung mit 2 Französische Haarnadeln U-förmige Haarnadeln Französische Haarnadel Große Haarnadel für Frauen Mädchen Styling Haarschmuck","New","3.39","No",,"Yes","0","0","0","0","0","66.53","0","0","0","0","0","0","0","0","0","0",
"D1139","X0026XRGYP","B0DPX3S53J","U-förmiger Edelstahl Gemüseschäler 2er Set, Spargelschäler Obstschäler, Schälmesser für Kartoffeln Karotten Spargel Obst und Gemüse Küchenhelfer","New","5.09","No",,"Yes","5","5","0","0","5","212.05","0","0","0","0","0","0","5","0","0","5",
"D1143","X0026XOO95","B0DPX3KN3Z","Holzkämme • Haarkämme aus Holz • Universalkämme für alle Haartypen (Männer und Frauen) • Kämme","New","2.49","No",,"Yes","0","0","0","0","0","35.56","0","0","0","0","0","0","0","0","0","0",
"D1146","X0026XOL7F","B0DPX575V5","3 Verstellbarer Fade Comb, Fade Combs Curved, Fade Comb und Silikon Haarschneideschablone, Haarschneidewerkzeug Ideal für Selbsthaarschnitte","New","6.79","No",,"Yes","46","40","1","5","46","959.95","0","0","0","0","0","30","40","0","0","40",
"D1147","X0026XOMQP","B0DPX49WTJ","verstellbare Haarschneideanleitung, professionelles Haarschneidewerkzeug, für Selbsthaarschnitte, gerader Halsansatz, tragbar, einfach zu bedienen (schwarz)","New","4.50","No",,"Yes","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",
"D1148","X0026YKFXX","B0DPZDNRKR","Kastanienclip, Kastanienzange, Walnüsse Nussknacker, Edelstahl Kastanienschneider, Kastanienöffner, Küchengeräte Trockenobst Öffner für Walnüsse, Kastanien, Nüsse (schwarz)","New","5.00","No",,"Yes","1","1","0","0","1","618.45","0","0","0","0","0","0","1","0","0","1",
"D1149","X0026YKC8V","B0DPZGD1BQ","Futterball für Hunde, Hundespielzeug Intelligenz Ball, Hundeball für kleine, mittlere, große Hunde, Welpenspielzeug, Zahnpflege Hundespielzeug (klein 6 cm, blau)","New","5.79","No",,"Yes","0","0","0","0","0","215.98","0","0","0","0","0","0","0","0","0","0",
"D1153","X0026YKCBX","B0DPZF6W3X","Hochzeit Braut Kristall Tiara, Königin Krone Dekoration, Kristall Frauen Haarkrone, Hochzeit Braut Haarschmuck, Prinzessin Krone","New","6.59","No",,"Yes","16","15","0","1","16","118.15","0","0","0","0","0","0","15","0","0","15",
"D1159","X0026YLDHP","B0DPZJY9ZQ","Duschkopfhalter, verstellbarer Handbrausehalter, kein Bohren, stark klebender Duschhalter, Duschkopfhalter, kein Bohren, wasserdichter Duschhalter (Chrom, 1er Pack)","New","6.29","No",,"Yes","0","0","0","0","0","383.95","0","0","0","0","0","0","0","0","0","0",
"D1161","X0026YOYUD","B0DPZK4HDP","Duschkopfhalter Saugnapf, max. Halt 5 kg, wandmontierter Duschkopfhalter für das Badezimmer, wasserdicht, höhen- und großwinkelverstellbarer Duschhalter ohne Bohren - Weiß","New","8.99","No",,"Yes","10","9","0","0","10","461.95","0","0","0","0","0","0","9","0","1","10",
"D1163","X0026XR8LV","B0DPX3DLLX","Breite Umhängetaschen Strap, Schultergurt für Taschen Verstellbarer, Schultergurt Taschengurt Schwarz 3.8cm Breit, Canvas Handtasche Taschenriemen, Taschengurte zum Wechseln","New","6.49","No",,"Yes","10","9","0","0","10","150.43","0","0","0","0","0","10","9","0","1","10",
"D1164","X0026XTA03","B0DPX24PP4","Damen Ledergürtel für Jeans Hosen Kleider Mode Goldschnalle Damen Leder Gürtel","New","5.00","No",,"Yes","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",
"D1167","X0026XVX2L","B0DPX2XSS7","RSYHVG Damen Bindgürtel, Breiter Taillengürtel aus Kunstleder, Modischer Obi Gürtel zum Binden, Taillenbetonender Gürtel für Kleider, Blusen und Röcke","New","5.49","No",,"Yes","14","14","0","0","14","627.13","0","0","0","0","0","0","14","0","0","14",
"D1170","X0026XRAAP","B0DPX42C4J","Vintage Haar Stick Opal Haar Stäbchen Haar chinesische Haarnadeln Alten Haarspange (Blau) 1 stück (1er Pack)","New","5.19","No",,"Yes","21","18","0","0","21","71.94","0","0","0","0","0","0","18","0","3","21",
"D1171","X0026XQIDP","B0DPX3QK9G","Braut Hochzeit Haarkämme Blume Perle Kopfschmuck Braut Kristall Blatt Haarschmuck für Frauen und Mädchen (Silber)","New","4.50","No",,"Yes","0","0","0","0","0","90.78","0","0","0","0","0","0","0","0","0","0",
"D1175","X0026YKCDV","B0DPZH4LQG","Hunde Sicherheitsgurt, 3 in 1 anschnallgurt Hund Auto mit reflektierendem elastischem Nylon-Bungee, Hunde sicherheitsgurt für alle Hunderassen und Auto Sitze Trunk, 70cm (Schwarz)","New","7.89","No",,"Yes","10","10","0","0","10","270.06","0","0","0","0","0","10","10","0","0","10",
