"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory cost coverage fee?","Low-Inventory cost coverage fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","D1263","X0026WZI55","B0DPWWCFKB","Cotton Face Masks 4 Pack | Washable & Reusable | Filter Pocket & Adjustable Straps | 3 Layer Fabric Mask with Protective Covering","New","49","0","0","48","2","0","0","0","0","EUR","2","6","10","10","Low traffic","6.66","0.0","6.66","0.0","NoRestockExcessActionRequired","49","0.0","0","0","0.0","0.48","0.001242","cubic meter","Standard","0.06085","DE","gl_sports","91072","137","0","32","63","6.72","10.9","32.7","54.5","54.5","48","0","0","0","0","0.13","0","0","0","0","1","0","","","","","","","","","","","","","254.2","5","","0","","2026-08-10","Yes","No","188.3","254.2","2026-08-10","49","0","1","0","140","N","","",""
"2026-08-13","RPAHXPDE016","X002HJZP87","B0GFXPVK1Q","RSYHVG 2 Stück Handykette Universalpads, 360° Rotierbar Edelstahl Multifunktionales Handy-Lanyard-Patch, Universelle Handykette, Telefon-Patch für die meisten Smartphones","New","8","0","0","8","0","0","0","0","0","EUR","","","","","Low traffic","5.89","0.0","5.89","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Apparel","8.0E-4","DE","gl_apparel","","","0","","","","","","","","8","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","8","0","0","0","","N","","",""
"2026-08-13","RPAHXPDE045-1","X002MN6XB1","B0H6MN1T4D","RSYHVG 2 Stück Bohrstaubsammler aus PP-Kunststoff blau, staubdichter Staubfangaufsatz für Schlagbohrmaschinen Elektrobohrmaschinen Maße 8.8x4.4x1.1cm","New","8","0","0","8","0","0","0","0","0","EUR","","","","","Low traffic","9.89","0.0","9.89","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","8.0E-4","DE","gl_home","","","0","","","","","","","","8","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","8","0","0","0","","N","","",""
"2026-08-13","RPAHXPDE072","X002HK3911","B0GG55BPPK","Messer Mosaiknieten Aus Edelstahl 6Mm Für Messergriff Herstellung Zubehör Vielseitige Nieten Für Verschiedene Materialien Mit Sicherem Halt Und Einfache Montage","New","8","0","0","8","0","0","0","0","0","EUR","","","","","Low traffic","10.99","0.0","10.99","0.0","Advertise listing","","","0","0","","0.0","6.6E-5","cubic meter","Standard","5.26E-4","DE","gl_home_improvement","","","0","","","10.99","","","","","8","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","8","0","0","0","","N","","",""
"2026-08-13","RPAHXPDE084","X002HKFFN1","B0GG4TPSF9","Leder Schleifpad Set - Professionelles Glättungs-Tool für rauen Stellen vor Lederreparaturen","New","5","0","0","5","0","0","0","0","0","EUR","3","3","3","3","Low traffic","6.29","0.0","6.29","0.0","NoRestockExcessActionRequired","","","0","0","","1.2","2.9E-4","cubic meter","Standard","0.001452","DE","gl_biss","152249","20","0","6","21","6.29","15.87","15.87","15.87","15.87","5","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","63.0","","","","","2026-08-10","Yes","No","63.0","63.0","2026-08-10","5","0","0","0","20","N","","",""
"2026-08-13","RPAHXPDE079","X002HN55AB","B0GGH2XGV2","Silikon Autoschlüssel Hülle passend für Renault Austral Remote Key Shell Zubehör (Blau)","New","8","0","0","8","0","0","0","0","0","EUR","","","","","Low traffic","7.89","0.0","7.89","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","8.0E-4","DE","gl_automotive","","","0","","","","","","","","8","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","8","0","0","0","","N","","",""
"2026-08-13","RPAHXPDE047","X002HNX4IB","B0GG4DRFYZ","9 Stück BH-Träger Halteclips für Racerback, Anti-Rutsch BH-Clips für den Rücken, Kreuzrücken Clips Schnallen für verdeckte Träger und Dekolleté-Kontrolle","New","8","0","0","8","0","0","0","0","0","EUR","","","","","Low traffic","6.29","0.0","6.29","0.0","Advertise listing","","","0","0","","0.0","8.7E-5","cubic meter","Apparel","7.0E-4","DE","gl_apparel","","","0","","","","","","","","8","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","8","0","0","0","","N","","",""
"2026-08-13","RPAHXPDE060","X002HKEL8V","B0GG4ZHFRK","4x Waschdüse für Crafter Sprinter I Sprinter 2 Vito W638 V-Klasse W638 Espace 3 Smart Fortwo Frontscheibenwischer Waschdüsen Scheibenwaschdüsen Waschwasserdüse Espace III","New","8","0","0","8","0","0","0","0","0","EUR","","","","","Low traffic","8.99","0.0","8.99","0.0","Advertise listing","","","0","0","","0.0","1.72E-4","cubic meter","Standard","0.001378","DE","gl_home_improvement","","","0","","","","","","","","8","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","8","0","0","0","","N","","",""
"2026-08-13","RPAHXPDE031-1","X002MN7B1H","B0H6MNWBT2","RSYHVG 2 Stück Französische Haarspangen Gold, Vintage Perle Haarspangen für Dünnes Haar, Stilvolle Perlen Haarklammern Barrette für Hochzeit Party Alltag, Multifunktionale Haarnadeln für Frauen","New","7","0","0","7","0","0","0","0","0","EUR","","","","","Low traffic","7.19","0.0","7.19","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","7.01E-4","DE","gl_beauty","","","0","","","","","","","","7","0","0","0","0","","1","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","8","0","0","0","","N","","",""
"2026-08-13","RPAHXPDE085","X002HKFEAF","B0GG5CTRJX","RSYHVG Klebehaken 20 Paar Set Transparent，Klebehalterung, kein Bohren erforderlich, selbstklebende doppelseitige Wandhaken，abnehmbar, geeignet für Küche, Bad, Wohnzimmer","New","8","0","0","8","0","0","0","0","0","EUR","","","","","Low traffic","8.09","0.0","8.09","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","8.0E-4","DE","gl_home_improvement","","","0","","","","","","","","8","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","8","0","0","0","","N","","",""
