"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","afn-fulfillable-quantity-local","afn-fulfillable-quantity-remote","afn-fc-transfer-quantity","afn-onhand-buyable-quantity","store"
"AF-EWJZ-5IWI","X0028KT0YF","B0D2DBVD74","RSYHVG Shoe Charms, glitter Bling Chain Charms,DIY Sandals Accessories,Crystal Diamond Shoe Buckle, Chain Shoe Accessory, DIY Creative Accessory,charms for adults Slippers, Sandals","New","4.09","No",,"Yes","0","0","0","0","0","268.42","0","0","0","0","0","0","0","0","0","0",
"HXP060401","X002KMA75H","B0GY7W5D22","RSYHVG 2PCS 8mm M35 HSS Cobalt Drill Bits, 135° Split Point Professional Jobber Twist Drill Bits for Metal, Stainless Steel, Cast Iron, Alloy & Hard Steel","New","5.09","No",,"Yes","2","1","1","0","42","99.96","0","40","0","0","0","0","1","0","0","1",
"HXP060402","X002KMGH5B","B0GY7Y4ZV6","RSYHVG Professional Precision Eyebrow Tweezers, German Grade Stainless Steel Slanted Facial Hair Removal Tweezers for Women and Men","New","4.59","No",,"Yes","12","11","0","1","12","99.96","0","0","0","0","0","0","11","0","0","11",
"HXP060403","X002KMD38F","B0GY855QL5","RSYHVG 2 Pcs Three Rings Scarf Buckles for Women, Elegant Silk Scarf Clasp Clips, Large Clothing Wrap Holder Triple Sliding Neckerchief Clamps Fashion Accessory, Silver & Golden","New","5.56","No",,"Yes","14","13","0","1","43","99.96","0","29","0","0","0","0","13","0","0","13",
"HXP060404","X002KMOZ1J","B0GY84YHQV","RSYHVG Corduroy Sanitary Pad Storage Bag, Discreet Period Organiser, Portable Black Small Makeup Bag, Reusable Tampon Pouch for Women's Cosmetics & Daily Essentials","New","6.79","No",,"Yes","5","5","0","0","35","99.96","0","30","0","0","0","0","5","0","0","5",
"HXP060405","X002KMLH79","B0GY8N1RZG","RSYHVG Polarized Night Driving Glasses for Men and Women, Anti Glare Yellow Tinted Lenses, Night Vision Glasses for Driving, Motorcycle, Cycling, Fishing, Running & Walking","New","6.79","No",,"Yes","2","2","0","0","62","303.98","0","60","0","0","0","0","2","0","0","2",
"HXP060406","X002KMGK6H","B0GY891V38","RSYHVG 1 Pair 96 Inch Waxed Ice Hockey Skate Laces, Anti-freezing Anti-fracture Sports Shoelaces for Ice Skating Skiing Roller Skates, Durable Polyester-Cotton Blend, White","New","7.60","No",,"Yes","11","11","0","0","41","99.96","0","30","0","0","0","0","11","0","0","11",
"HXP060407","X002KMMDLD","B0GY86J33J","RSYHVG Women's Black PU Leather Kiss Lock Coin Purse, Triple Metal Frame Small Clip Change Pouch, Compact Key & Card Organizer Wallet","New","6.29","No",,"Yes","17","15","0","2","37","99.96","0","20","0","0","0","0","15","0","0","15",
"HXP060408","X002KMPO91","B0GY8FZK29","RSYHVG Silver Reusable Stainless Steel Drinking Straws, Metal Straws for Smoothies Cocktails Iced Coffee Juices, Eco-Friendly Dishwasher Safe, Pack of 4 with Cleaning Brush & Travel Pouch","New","7.29","No",,"Yes","12","11","0","1","12","326.59","0","0","0","0","0","0","11","0","0","11",
"HXP060409","X002KMK6PX","B0GY8C42YV","RSYHVG 2 Pairs Thin Skin Protective Arm Sleeves for Adults, Anti-Bruise & Skin Tear Forearm Guards, Breathable Elastic Sleeves with Thumb Hole for Men Women","New","7.19","No",,"Yes","0","0","0","0","20","99.96","0","20","0","0","0","0","0","0","0","0",
"HXP0604100","X002KNKT95","B0GYC7H94D","RSYHVG Blue Light Blocking Glasses, Clear Lens Anti Glare UV Protection Eyeglasses, Vintage Black Oval Frame for Computer Work, Gaming & Daily Digital Use","New","6.59","No",,"Yes","9","9","0","0","9","99.96","0","0","0","0","0","0","9","0","0","9",
