"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","HXP260134","X002HJMB11","B0GFW5TC2Y","Acrylic Claw Clip Pink Hair Clips Cute Medium Hair Claws Hair Accessories for Women (pink+white)","New","3","0","0","3","0","0","0","0","0","GBP","2","20","37","47","Low traffic","7.41","0.0","7.41","0.0","NoRestockExcessActionRequired","0","0.0","0","0","6.97","4.82","0.003531","cubic feet","Standard","0.010593","UK","gl_beauty","105130","116","0","14","20","7.41","12.34","123.4","228.29","289.99","0","3","0","0","0","0.01","70","0","70","0","0","0","","","","","","","","","","","","","14.6","8","2026-08-17","2026-08-09","14.6","14.4","2026-08-10","73","0","0","0","116","N","","",""
"2026-08-13","Y12491","X0027JGG9T","B0DRVMVP3V","Women Small Hair Clips Barrettes Grips, 3 PC Hair Claw for High Ponytail Diamante Sparkly Hair Accessories Crystal Hairpins, Wedding Guest Everyday Wear Prom Party Ponytail Holder Women Girls Gift","New","26","15","0","44","0","0","0","0","0","GBP","6","29","60","78","Low traffic","5.39","0.0","5.39","0.0","CreateShippingPlan","41","0.0","0","0","0.0","3.1","0.004484","cubic feet","Standard","0.116584","UK","gl_beauty","85968","76","0","6","7","5.39","26.94","130.21","266.17","343.93","44","0","0","0","0","0.11","20","0","20","0","0","0","","","","","","","","","","","","","21.1","16","2026-08-24","2026-08-09","17.7","21.1","2026-08-10","61","0","0","0","76","N","","",""
"2026-08-13","Y501361","X0028U8MB7","B0DYDL5SG5","RSYHVG 3Pcs Integrated Dart Flights and Shafts, No.6 Shape Moulded Dart Accessories, Universal 2BA Thread Lightweight Durable Dart Shafts for Steel Tip and Soft Tip Darts","New","32","0","0","20","0","12","0","0","0","GBP","0","2","2","2","Low traffic","5.29","0.0","5.29","0.0","NoRestockExcessActionRequired","32","0.0","0","0","0.0","0.07","0.008528","cubic feet","Standard","0.272896","UK","gl_sports","147599","217","0","64","208","5.29","0.0","8.82","8.82","8.82","0","0","20","12","0","0.19","0","0","0","0","0","0","","","","","","","","","","","","","1475.0","0","","2026-08-09","495.0","1475.0","2026-08-10","32","0","0","0","217","N","","",""
"2026-08-13","TY268","X0021X2F05","B0D6VFJ771","Nail Clippers for Thick Nails Toenail Clippers Wide Jaw Nail Cutter Heavy Duty Nail Clipper Sharp Curved Toe Nail Clippers for Men and Women, Blue","New","1","0","0","8","0","0","0","0","0","GBP","13","18","26","33","Low traffic","4.89","0.0","4.89","0.0","CreateShippingPlan","1","0.0","0","0","0.0","1.63","0.003885","cubic feet","Standard","0.003885","UK","gl_drugstore","54652","28","0","4","8","4.89","52.91","74.11","108.88","139.75","8","0","0","0","0","0.0","20","0","20","0","2","0","","","","","","","","","","","","","67.6","42","2026-08-12","2026-08-09","59.3","67.6","2026-08-10","21","2","0","0","31","N","","",""
"2026-08-13","TY285","X0021PRVSJ","B0D6G61HS9","False Eyelashes Natural Cosplay Lashes Doll Anime Japanese Faux Mink Lashes Pack Fake Eyelashes Long Thick Ruffle Fake Eye Lashes 5 Pairs","New","29","0","0","30","0","0","0","0","0","GBP","0","2","6","10","Low traffic","4.39","0.0","4.39","0.0","NoRestockExcessActionRequired","0","0.0","0","0","106.85","0.58","0.004917","cubic feet","","0.142593","UK","gl_beauty","168717","292","0","58","37","4.39","0.0","7.32","21.96","36.76","30","0","0","0","0","0.1","0","0","0","0","1","0","","","","","","","","","","","","","435.0","0","","2026-08-09","435.0","163.0","2026-08-10","29","0","1","0","302","N","","",""
"2026-08-13","TY277","X0021Q5XK1","B0D6G5BM1V","RSYHVG Internal Belly Bar, Rod Length 10mm, Navel Bar, 14G Stainless Steel Belly Button Jewelry, Extra Long Navel Piercing, Gold","New","17","0","0","20","0","0","0","0","0","GBP","0","2","6","8","Low traffic","4.29","0.0","4.29","0.0","NoRestockExcessActionRequired","17","0.0","0","0","0.0","0.49","0.001695","cubic feet","","0.028815","UK","gl_jewelry","546330","256","0","34","27","4.29","0.0","7.14","21.42","28.56","0","17","3","0","0","0.02","0","0","0","0","3","0","","","","","","","","","","","","","313.0","0","","2026-08-09","313.0","177.0","2026-08-10","17","3","0","0","294","N","","",""
"2026-08-13","TY412","X0021WH1MD","B0D6R9HWC5","RSYHVG Universal Neoprene Black Mobile Phone Sleeve Shock Absorbing proof Pouch Case for Length 154 (mm) inside common","New","28","0","0","29","0","0","0","0","0","GBP","1","10","16","19","Low traffic","5.79","0.0","5.79","0.0","NoRestockExcessActionRequired","28","0.0","0","0","0.0","0.9","0.003311","cubic feet","","0.092708","UK","gl_electronics","","118","0","11","19","5.79","4.82","48.2","78.14","94.1","25","1","3","0","0","0.06","0","0","0","0","1","0","","","","","","","","","","","","","95.7","0","","2026-08-09","58.6","95.7","2026-08-10","28","1","0","0","123","N","","",""
"2026-08-13","HXP060406","X002KMGK6H","B0GY891V38","RSYHVG 1 Pair 96 Inch Waxed Ice Hockey Skate Laces, Anti-freezing Anti-fracture Sports Shoelaces for Ice Skating Skiing Roller Skates, Durable Polyester-Cotton Blend, White","New","11","0","0","11","0","0","0","0","0","GBP","0","3","4","4","Low traffic","7.6","0.0","7.6","0.0","Advertise listing","","","0","0","","0.4","0.003531","cubic feet","Standard","0.038841","UK","gl_sports","118865","366","0","54","133","7.6","0.0","19.16","25.66","25.66","0","0","11","0","0","","30","0","30","0","0","0","","","","","","","","","","","","","305.0","0","","2026-08-09","191.5","305.0","2026-08-10","41","0","0","0","366","N","","",""
"2026-08-13","HXP260301","X002JC50XR","B0GSJDWBBD","Freckle Pen Makeup,Natural Lifelike Fake Freckles Magic Freckle Color Pen,Soft Waterproof Long-lasting (Light Brown)","New","16","0","0","16","0","0","0","0","0","GBP","","","","","Low traffic","4.59","0.0","4.59","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.056496","UK","gl_beauty","","366","0","","","4.79","","","","","0","0","16","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","16","0","0","0","366","N","","",""
"2026-08-13","HXP060445","X002KNDKYV","B0GYCPDQQF","RSYHVG 4-Piece Silicone Stretch Lid Set, Universal 9cm Food Covers for Containers, Tins & Yogurt Pots, Thickened Reusable, Dishwasher & Freezer Safe","New","36","0","0","40","0","0","0","0","0","GBP","2","7","15","18","Low traffic","7.19","0.0","7.19","0.0","NoRestockExcessActionRequired","","","0","0","","0.85","0.003531","cubic feet","Standard","0.127116","UK","gl_home","648853","106","0","20","26","7.19","11.98","41.93","89.85","107.82","40","0","0","0","0","","0","0","0","0","3","0","","","","","","","","","","","","","154.8","0","","2026-08-09","154.8","81.9","2026-08-10","36","3","0","0","113","N","","",""
"2026-08-13","TY133","X0021Q5WTX","B0D6G8LG1P","RSYHVG 4X for Saab Window Regulator New Roller Front NG 900 93 95 1999-2010 4493433","New","44","0","0","48","0","0","0","0","0","GBP","2","9","26","34","Low traffic","4.79","0.0","4.79","0.0","NoRestockExcessActionRequired","44","0.0","0","0","0.0","1.0","0.001678","cubic feet","","0.073832","UK","gl_home_improvement","46235","164","0","19","16","4.79","7.98","36.25","106.97","140.25","25","23","0","0","0","0.05","0","0","0","0","3","0","","","","","","","","","","","","","217.2","0","","2026-08-09","217.2","91.8","2026-08-10","44","3","0","0","178","N","","",""
"2026-08-13","HXP260105","X002HJK5EB","B0GFW1ZNF3","2PCS Stainless Steel Coffee Filter 51mm Coffee Portafilter Basket Reusable Replacement Portafilter Basket Espresso Machines Accessories for High Pressure Coffee Machine (Double & Single Cup)","New","23","0","0","21","3","0","0","0","0","GBP","2","3","4","8","Low traffic","8.99","0.0","8.99","0.0","NoRestockExcessActionRequired","0","0.0","0","0","157.06","0.4","0.003531","cubic feet","Standard","0.081213","UK","gl_kitchen","599979","183","23","30","37","8.99","14.98","22.47","30.79","64.91","0","20","1","0","0","0.06","0","0","0","0","1","0","","","","","","","","","","","","","396.5","0","","2026-08-09","396.5","216.8","2026-08-10","23","1","0","0","192","N","","",""
"2026-08-13","HXP060459","X002KNJK0J","B0GYCWN36R","RSYHVG 24 Pcs Black Almond Press On Nails, Medium Length Gold Foil Glitter False Nails with Black Gold Line Design, Glossy Full Cover Acrylic Artificial Nails for Women Manicure Decoration","New","15","0","0","15","0","0","0","0","0","GBP","","","","","Low traffic","3.95","0.0","3.95","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.052965","UK","gl_beauty","","366","0","","","4.15","","","","","0","0","15","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","15","0","0","0","366","N","","",""
"2026-08-13","HXP251210","X002HAZDZL","B0GCYZZ7JM","10 Pack Round Resin Sewing Buttons, Flatback 4 Hole Concave Retro Decorative Buttons, Durable Wear Resistant Fasteners for Coats Shirts Jeans Windbreakers, Arts Crafts DIY Haberdashery Accessories","New","19","0","0","10","0","9","0","0","0","GBP","0","0","0","0","Low traffic","5.09","0.0","5.09","0.0","Create removal order","0","0.0","0","0","95.55","0.0","0.003531","cubic feet","Standard","0.067089","UK","gl_office_product","2957402","366","19","","","5.09","0.0","0.0","0.0","0.0","0","0","10","9","0","0.05","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","19","0","0","0","366","N","","",""
