"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","XJ2511417","X002G2RAW9","B0D31J7846","TRHDFW Tablespoon Measuring Spoon 2 Pieces 1 Tablespoon Scoops with Long Handle, 15 ml Stainless Steel Coffee Measuring Spoon 15ml Measuring Tablespoon for Coffee Milk Fruit Powder","New","25","0","0","25","0","1","0","0","0","GBP","0","2","5","8","Low traffic","5.79","0.0","5.79","0.0","NoRestockExcessActionRequired","25","0.0","0","0","0.19","0.42","0.011889","cubic feet","Standard","0.297225","UK","gl_kitchen","543373","79","0","50","40","5.79","0.0","9.64","24.27","36.99","0","10","15","1","0","0.2","0","0","0","0","1","0","","","","","","","","","","","","","415.0","3","2026-09-04","2026-08-09","415.0","194.6","2026-08-10","25","1","0","0","82","N","","",""
"2026-08-13","XJ250807","X002DWFYMP","B0FNBNDWZM","AXNKDH Sports Running Sunglasses for Women Men Polarised Wraparound Cycling Glasses with UV400 Protection Outdoor Activities","New","10","0","0","14","0","0","0","0","0","GBP","3","7","9","14","Low traffic","4.99","0.0","4.99","0.0","NoRestockExcessActionRequired","10","0.0","0","0","0.0","0.98","0.003531","cubic feet","Standard","0.03531","UK","gl_sports","51900","98","0","5","9","4.99","12.48","29.12","37.85","59.9","14","0","0","0","0","0.02","0","0","0","0","2","0","","","","","","","","","","","","","119.5","2","2026-08-12","2026-08-09","89.8","119.5","2026-08-10","10","1","1","0","142","N","","",""
"2026-08-13","XJ260105","X002I02VGT","B0GJSGCK9L","2 Pcs Desk Grommet 60mm Grey Desk Cable Grommet, Reusable Plastic Desks Hole Cover, Detachable Cable Grommets for Wire Tidy, CablesTidy, Cord Organizer for Office Home Table","New","11","0","0","12","0","0","0","0","0","GBP","1","12","27","34","Low traffic","4.99","0.0","4.99","0.0","NoRestockExcessActionRequired","0","4.49","9","0","26.39","3.89","0.003531","cubic feet","Standard","0.038841","UK","gl_electronics","105594","133","0","20","23","4.99","4.16","49.92","112.32","139.69","10","2","0","0","0","0.03","50","0","50","0","1","0","","","","","","","","","","","","","43.2","0","","2026-08-09","43.2","35.7","2026-08-10","61","1","0","0","136","N","","",""
"2026-08-13","XJ2511243","X002FQJLLJ","B0D7Q38T7Q","3 Pack Nail Grinding Bits, Electric Manicure Set Manicure Pedicure Diamond Nail Bits Set Electric Manicure Set with Sanding Bands for Electric Nail Files Drill Machine","New","23","3","0","27","0","0","0","0","0","GBP","3","13","24","34","Low traffic","4.79","0.0","4.79","0.0","NoRestockExcessActionRequired","26","0.0","0","0","0.0","4.53","0.002858","cubic feet","Standard","0.065734","UK","gl_beauty","61377","54","0","7","8","4.79","11.97","51.87","94.33","133.43","27","0","0","0","0","0.05","0","0","0","0","1","0","","","","","","","","","","","","","26.9","19","2026-08-16","2026-08-09","26.9","13.9","2026-08-10","26","0","1","0","56","N","","",""
"2026-08-13","XJ2511387","X002G2QN3V","B0D119DK5C","TRHDFW Silky Satin Hair Bows for Women, 3 Pack Big Black, White, Pink Bowknot Metal Spring Clip Oversized Long Tail Hair Ribbons Ponytail Holder French Barrettes","New","10","0","0","11","0","0","0","0","0","GBP","1","14","20","28","Low traffic","5.29","0.0","5.29","0.0","NoRestockExcessActionRequired","10","0.0","0","0","0.0","2.38","0.006357","cubic feet","Standard","0.06357","UK","gl_beauty","87387","240","0","20","32","5.29","4.41","61.74","88.02","122.58","0","11","0","0","0","0.03","60","0","60","0","0","0","","","","","","","","","","","","","40.1","0","","2026-08-09","34.3","40.1","2026-08-10","70","0","0","0","240","N","","",""
"2026-08-13","XJ251067-1","X002J7WDAF","B0GS59YLK4","2 Pieces Baking Cake Strips, Adjustable Baking Even Strips Absorbent Thick Cotton Tray Protection Strap Cake Pan Strips with 1 Cake Piping Bag; for Cake Decorating Baking Tools Baking Cake Strips","New","68","0","0","68","0","0","0","0","0","GBP","2","10","18","36","Low traffic","5.79","0.0","5.79","0.0","NoRestockExcessActionRequired","0","0.0","0","0","147.25","1.01","0.003531","cubic feet","Standard","0.240108","UK","gl_kitchen","210402","149","0","27","24","5.79","9.64","48.2","89.48","182.36","50","18","0","0","0","0.17","0","0","0","0","0","0","","","","","","","","","","","","","221.9","0","","2026-08-09","221.9","97.8","2026-08-10","68","0","0","0","149","N","","",""
"2026-08-13","XJ250401","X0029UFORL","B0F3CPCQ1Y","AXNKDH Double-Sided Exfoliating Mitt, Natural Hemp Fibre Body Scrubber, Soft Shower Puff Loofah Sponge, Dual Action Bath Glove for Dead Skin Removal, Suitable for All Skin Types, Beige","New","14","0","0","0","14","0","0","0","0","GBP","","","","","Low traffic","7.29","0.0","7.29","0.0","Advertise listing","0","0.0","0","0","65.95","0.0","0.027122","cubic feet","Standard","0.379708","UK","gl_personal_care_appliances","","","14","","","7.29","","","","","0","0","0","0","0","0.26","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","14","0","0","0","","N","","",""
"2026-08-13","XJ250839","X002DWVEA1","B0FND7SSYX","AXNKDH Blue Light Blocking Clip On Glasses, Computer and Gaming Eyewear for Better Night Sleep, Anti Eye Strain, Suitable for Screens, Games, TVs, Mobile Phones","New","62","0","0","61","3","0","0","0","0","GBP","2","8","17","32","Low traffic","7.79","0.0","7.79","0.0","NoRestockExcessActionRequired","62","0.0","0","0","0.0","0.89","0.003531","cubic feet","Footwear","0.218922","UK","gl_shoes","129114","173","0","31","25","7.79","12.98","51.92","110.84","210.74","46","15","0","0","0","0.12","0","0","0","0","2","0","","","","","","","","","","","","","300.0","0","","2026-08-09","300.0","115.2","2026-08-10","62","1","1","0","179","N","","",""
"2026-08-13","XJ250821","X002DXCZQR","B0FNJJR6Q6","AXNKDH 2 pairs of sports sunglasses set, black frame gray film+blue frame blue film, men's and women's outdoor cycling, running, driving, sun shading sunglasses","New","35","0","0","36","0","0","0","0","0","GBP","3","6","10","25","Low traffic","6.49","0.0","6.49","0.0","NoRestockExcessActionRequired","35","0.0","0","0","0.0","0.93","0.003531","cubic feet","Apparel","0.123585","UK","gl_apparel","","250","0","23","18","6.49","16.23","32.62","56.4","147.45","0","36","0","0","0","0.06","0","0","0","0","0","0","","","","","","","","","","","","","404.0","0","","2026-08-09","404.0","109.4","2026-08-10","35","0","0","0","250","N","","",""
"2026-08-13","XJ251038-1","X002JDF7I9","B0GSR657K1","AXNKDH 4 Pcs 6MM Gas Hob Knobs Silver Cooker Hob Knobs Universal Gas Stove Knobs Metal Gas Hob Switch for Kitchen Cooker Gas Stove Oven Cooktop","New","33","0","0","31","2","0","0","0","0","GBP","0","3","7","13","Low traffic","9.19","0.0","9.39","0.0","NoRestockExcessActionRequired","0","0.0","0","0","73.76","0.56","0.003531","cubic feet","Standard","0.116523","UK","gl_home_improvement","322380","188","33","44","33","9.39","0.0","23.46","56.1","105.06","1","30","0","0","0","0.08","0","0","0","0","0","1","","","","","","","","","","","","","328.0","0","","2026-08-09","328.0","122.2","2026-08-10","33","0","0","0","188","N","","",""
