"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","ZQLH240991","X0024FRIWP","B0DGD3K98P","Pet Pill Plunger Popper, Animal Medicine Feeder Side Grip Press Type with Silicone Tip for Dogs Cats Birds cat pill dispenser","New","81","1","0","84","0","0","0","0","0","GBP","6","31","53","90","Low traffic","5.29","0.0","5.29","0.0","NoExcessInventory","83","0.0","0","0","0.0","1.5","0.010769","cubic feet","Standard","0.872289","UK","gl_pet_products","34332","112","0","10","11","5.29","26.46","136.71","232.88","379.22","30","54","0","0","0","0.54","0","0","0","0","3","0","","","","","","","","","","","","","70.6","6","2026-08-23","2026-08-09","70.6","49.2","2026-08-10","82","3","0","0","119","N","","",""
"2026-08-13","ZQLH260108","X002HJ5W7L","B0GFVXMF6C","FOUNDATION BRUSH – Perfect Makeup Brush for Liquid Foundation & Powder Make-up, Seamless Blending, Face Brush for Make up, Beauty Tools","New","18","0","0","18","0","0","0","0","0","GBP","1","6","6","9","Low traffic","3.99","0.0","3.99","0.0","Create Outlet deal","0","3.19","2","0","57.15","0.68","0.003531","cubic feet","Standard","0.063558","UK","gl_beauty","199325","166","0","12","26","3.99","3.32","19.92","19.92","29.4","0","18","0","0","0","0.04","0","0","0","0","0","0","","","","","","","","","","","","","126.0","0","","2026-08-09","108.2","126.0","2026-08-10","18","0","0","0","166","N","","",""
"2026-08-13","RPALH367","X002AMWP9N","B0F6XJ27L1","Vacuum Pump Valve Replacement Brake Vacuum Pump Valve Repair for Ford Transit/Courier/B-Max CB2/Focus CB8/Fiesta CCN, CM5G2A451GA 1867424","New","17","1","0","20","0","0","0","0","0","GBP","0","0","1","9","Low traffic","4.79","0.0","4.79","0.0","Create Outlet deal","6","3.83","2","0","2.0","1.16","0.003531","cubic feet","","0.060027","UK","gl_biss","233088","366","0","","24","4.79","0.0","0.0","3.99","35.4","20","0","0","0","0","0.04","0","0","0","0","2","0","","","","","","","","","","","","","","0","","","","61.3","2026-08-10","18","0","2","0","366","N","","",""
"2026-08-13","RPLH260368","X002JPGTZR","B0GV43H8SZ","MNFPSJB 24Pcs Rose Pink Short Press On Nails, Glossy Gel Finish Fake Nail Art Tips, Reusable False Nails Kit with Nail File, Cuticle Stick & Adhesive Tabs for Women Daily & Office Wear","New","36","0","0","20","17","0","0","0","0","GBP","0","0","1","3","Low traffic","4.09","0.0","4.29","0.0","Advertise listing","0","0.0","0","0","78.22","0.11","0.005967","cubic feet","Standard","0.214812","UK","gl_beauty","437142","366","36","","156","4.29","0.0","0.0","3.91","11.89","0","20","0","0","0","0.09","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","742.3","2026-08-10","36","1","0","0","366","N","","",""
"2026-08-13","RPALH510","X002IG82W5","B0GMP2QTL6","MNFPSJB 1pcs Bite Alarms Carp Fishing Swingers Bobbins for Fishing Alarm Indicator,Chain Bite Alarm Tools Green","New","11","0","0","11","0","0","0","0","0","GBP","2","7","12","15","Low traffic","6.94","0.0","6.94","0.0","NoRestockExcessActionRequired","","","0","0","","1.4","0.003531","cubic feet","Standard","0.038841","UK","gl_sports","56255","46","0","6","9","6.94","11.56","40.8","70.89","89.23","0","10","1","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","92.8","10","2026-08-10","2026-08-09","91.2","92.8","2026-08-10","11","0","0","0","46","N","","",""
"2026-08-13","RPALH469","X002ANOYJV","B0F73ZV62C","MNFPSJB 2Pcs MNFPSJB Rasta Bracelet Jamaica Rope Adjustable Drawstring Braided Leather Men's Women's Jewelry Gifts","New","62","7","0","70","0","0","0","0","0","GBP","0","24","25","37","Low traffic","3.89","0.0","3.89","0.0","Create Outlet deal","22","3.11","2","0","25.17","1.47","0.003531","cubic feet","Apparel","0.218922","UK","gl_jewelry","305372","366","0","15","32","3.89","0.0","77.76","81.0","118.63","70","0","0","0","0","0.16","30","0","30","0","0","0","","","","","","","","","","","","","13.2","0","","2026-08-09","12.5","13.2","2026-08-10","99","0","0","0","366","N","","",""
"2026-08-13","RPALH324","X002AMRNB3","B0F6XC653X","3 Pcs Telescopic Teachers Pointer Mini Retractable Teacher Pointer Stick Extendable Hand Pointer Finger Pointer Stick for Teacher Classroom Teacher Aids (Blue Red Green)","New","1","0","0","5","0","0","0","0","0","GBP","0","0","4","5","Low traffic","4.69","0.0","4.69","0.0","Create Outlet deal","0","0.0","0","0","5.06","1.05","0.015097","cubic feet","","0.015097","UK","gl_wireless","245000","22","0","","2","4.69","0.0","0.0","14.62","18.19","0","0","5","0","0","0.01","0","0","0","0","4","0","","","","","","","","","","","","","","0","","","","107.8","2026-08-10","1","4","0","0","110","N","","",""
"2026-08-13","RPALH073","X002AMOWNZ","B0F6X7B9KH","MNFPSJB 100 Pcs Penny Sleeves, 91 x 66mm Ultra-Clear Trading Card Sleeves, Transparent Plastic Card Protectors for Adult Collectors, Game Cards & Collectible Trading Cards","New","16","1","0","20","7","0","0","0","0","GBP","1","2","3","3","Low traffic","4.99","0.0","4.99","0.0","Create Outlet deal","0","0.0","0","0","70.32","0.21","0.003531","cubic feet","","0.056496","UK","gl_office_product","159689","305","17","32","69","4.99","4.16","8.48","12.8","12.8","20","0","0","0","0","0.04","0","0","0","0","10","0","","","","","","","","","","","","","322.0","0","","2026-08-09","191.0","322.0","2026-08-10","17","10","0","0","366","N","","",""
"2026-08-13","RPALH481","X002AN0V8T","B0F6Y6JXH8","Selene™ Nano Toothbrush | Soft Bristle Manual for Adults Children | Micro-Nano Design 20,000 Bristles Gentle Cleaning Fragile Gums","New","273","7","0","298","0","0","0","0","0","GBP","15","143","244","324","Low traffic","6.89","0.0","6.89","0.0","NoRestockExcessActionRequired","74","6.55","52","0","39.14","2.63","0.007231","cubic feet","","1.974063","UK","gl_personal_care_appliances","25556","110","0","10","14","6.89","86.1","820.82","1400.56","1853.64","262","36","0","0","0","0.68","100","0","100","0","13","0","","","","","","","","","","","","","33.4","0","","2026-08-09","33.4","22.9","2026-08-10","380","12","1","0","113","N","","",""
"2026-08-13","RPALH191","X002AO69RP","B0F74CK7ZC","Precision Slanted Eyebrow Tweezers for Men & Women - Stainless Steel, Ideal for Facial Hair & Ingrown Hair Removal","New","47","0","0","49","0","0","0","0","0","GBP","0","5","13","21","Low traffic","5.19","0.0","5.39","0.0","NoExcessInventory","47","0.0","0","0","0.0","0.61","0.003531","cubic feet","Other","0.165957","UK","gl_home_improvement","123194","238","0","37","29","5.39","0.0","22.45","58.37","94.29","1","48","0","0","0","0.1","0","0","0","0","2","0","","","","","","","","","","","","","312.8","0","","2026-08-09","312.8","128.1","2026-08-10","47","2","0","0","248","N","","",""
