"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","fba-minimum-inventory-level","fba-inventory-level-health-status","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory cost coverage fee?","Low-Inventory cost coverage fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","DJM266411","X002MSF9ZR","B0H6Q43GMQ","KSEWJP LSA Auflegewerkzeug Schwarz mit Mini-Drahtabisolierer für Cat5-Cat7 Netzwerkdosen Patchfelder LAN Kabel","New","25","5","0","30","0","0","0","0","0","EUR","","","","","Low traffic","7.59","0.0","7.59","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0025","DE","gl_home_improvement","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266167","X002MO6AYZ","B0H6DCY1ZX","KSEWJP 2 Stück Auto Seitenfenster Sonnenschutz, UV-Schutz Mesh Netz aus Polyester, Universal Passform für Heckfenster von PKW SUV Kombi, Schwarz","New","8","22","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.99","0.0","6.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","8.0E-4","DE","gl_automotive","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266273","X002MCXRAH","B0H4ZNP7XL","KSEWJP Sport Stirnbänder 5 Stück, Dünne elastische Haarband mit Anti-Rutsch Silikon, Atmungsaktive Sportkopfband für Laufen, Yoga, Fitness, Tennis, Herren & Damen","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.99","0.0","6.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_sports","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266313","X002MO0JB5","B0H6JN1TM9","KSEWJP Damen Taillenkette, runde Ring Metall Hüftkette, verstellbare Gliederkette mit Verlängerung, modischer Metallgürtel für Kleider und Jeans, gold","New","22","8","0","30","0","0","0","0","0","EUR","","","","","Low traffic","14.99","0.0","14.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Apparel","0.0022","DE","gl_apparel","","","0","","","14.99","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266377","X002MO0GNV","B0H6JRWW6X","KSEWJP 4 Stück Bunte Nagelbürsten mit Griff, Sanfte Handwaschbürste für Hand- und Nagelreinigung, Effektive Badebürste für Bad, Küche und Haushaltsreinigung","New","22","8","0","30","0","0","0","0","0","EUR","","","","","Low traffic","7.49","0.0","7.49","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0022","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266271","X002MC2Q27","B0H55F7V25","KSEWJP 30 Stück Mini Haarspangen, 3 cm Kleine Haarclips, Bunte Haarspangen für Feines Haar, Haar Klammern mit Aufbewahrungsbox","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.99","0.0","6.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26641","X002MD4S6N","B0H55F1L11","KSEWJP Obstschneider für Trauben, Kirschtomaten & Oliven, manueller Viertelschneider aus 304-Edelstahl und BPA-freiem ABS, spülmaschinenfest, kompakter Küchenhelfer in Grün","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","10.99","0.0","10.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_home","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266315","X002MO0GMR","B0H67CLRLY","KSEWJP Yoga Stretch Gurt, Widerstandsbänder mit 8 Schlaufen, Elastische Fitnessbänder für Yoga Tanztraining Gymnastik Krafttraining, Rot","New","29","1","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.79","0.0","6.79","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0029","DE","gl_sports","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266276","X002M9PYV5","B0H4ZC5QNY","KSEWJP 20 Paar Ohrstöpsel mit Schnur, Wiederverwendbare Silikon Gehörschutzstöpsel, 25 dB Lärmreduzierung, Wasserdicht Gehörschutz für Schwimmen, Schlafen, Arbeiten, Reisen & Konzerte, Blau-Orange","New","0","29","0","29","0","0","0","0","0","EUR","","","","","Low traffic","5.99","0.0","5.99","0.0","NoRestockExcessActionRequired","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0","DE","gl_drugstore","","","0","","","","","","","","29","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","29","0","0","0","","N","","",""
"2026-08-13","DJM26640","X002MC1ZGF","B0H55BRG5D","KSEWJP 2 Stück transparente PVC Kartenhüllen, Brieftascheneinsatz Kreditkartenhalter mit 10 Seiten, passend für Personalausweis Führerschein Versicherungs- und EC-Karten, Unisex","New","28","0","0","28","0","0","0","0","0","EUR","","","","","Low traffic","6.59","0.0","6.59","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0028","DE","gl_luggage","","","0","","","","","","","","28","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","28","0","0","0","","N","","",""
"2026-08-13","DJM26610","X002MD7X1F","B0H4ZDZ7MZ","KSEWJP Duttformer 4 Stück Vintage Haargummi mit Perlen & Blumen Dekor flexibel Haardreher für mittellange und lange Haare DIY Frisur Zubehör für Alltag Feier Hochzeit","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","8.55","0.0","8.55","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266260","X002MR9KFX","B0H6PS29CJ","KSEWJP Lockpfeife Entenlockpfeife für Entenjagd Outdoor Aktivitäten Vielseitiger Jagdlock mit Seil Ideal für Enten Hühner und Gänse","New","8","22","0","30","0","0","0","0","0","EUR","","","","","Low traffic","7.99","0.0","7.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","8.0E-4","DE","gl_musical_instruments","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266389","X002MO0JLZ","B0H6FWKFX5","KSEWJP Ganzmetall Faltbares Golf Pitchgabel mit Pop-up Taste & Magnetkugel Markierung, Schwarz & Blau, 2 Stück","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","8.99","0.0","8.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_sports","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266111","X002MHVSWL","B0H6BJ3JXC","KSEWJP 300cm Flexible Reinigungsbürste, extra Langer Schiebedach Abflussreiniger, weiche Drahtbürste für Auto Schiebedach, Kraftstofftank, Kühlschrank, Rohrverstopfungen","New","29","0","0","29","0","0","0","0","0","EUR","","","","","Low traffic","5.59","0.0","5.59","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0029","DE","gl_home","","","0","","","","","","","","29","0","0","0","0","","1","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266304","X002MG69TT","B0H67HG57L","KSEWJP 2 Stück Abflussstopfen Gummi mit 10cm Metallkette, Ø 40-45mm Waschbeckenstöpsel Schwarz, Universalstöpsel für Küchenspüle Badewanne Bad","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","4.99","0.0","4.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_home","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266108","X002MNYEXP","B0H6FWPJ3L","KSEWJP 6 Stück Abteilklammern Friseur, No-Trace Haarklammern Damen, Rutschfeste Haar Clips für Friseurbedarf & Heimgebrauch, Schwarz","New","29","1","0","30","0","0","0","0","0","EUR","","","","","Low traffic","4.99","0.0","4.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0029","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26654","X002MI29N7","B0H6B8T2QN","KSEWJP Damen Kniestrümpfe Kompressionsstrümpfe, weiche atmungsaktive Baumwolle Reisestrümpfe mit Komfortbund, entlastende Vital Strümpfe für Reisen, Büro und Alltag, mehrere Größen & Farben","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","11.89","0.0","11.89","0.0","Advertise listing","","","0","0","","0.0","7.09E-4","cubic meter","Apparel","0.021276","DE","gl_apparel","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266243","X002MSAJXT","B0H6PQW484","KSEWJP 5 Stück Edelstahl-Fingerschutz, Sichere Schneideschutz, Küchenfingerschutz zum Schneiden, Würfeln und Hacken","New","20","10","0","30","0","0","0","0","0","EUR","","","","","Low traffic","7.49","0.0","7.49","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.002","DE","gl_home","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26622","X002MDKA0L","B0H5BDTWX2","KSEWJP 2 Stück Holz Haarkamm glatt poliert Naturholz, lustiges Scherzgeschenk für glatzköpfige Erwachsene Männer braun Tischdekoration","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.5","0.0","6.5","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_toy","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266219","X002MD7KOP","B0H58K4S93","KSEWJP Rote Haarschleife Große Französische Haarspange Damen Seidige Satinbänder Langschwanz Retro Haarschmuck Pferdeschwanz Halter","New","30","1","0","31","0","0","0","0","0","EUR","","","","","Low traffic","6.39","0.0","6.39","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_beauty","","","0","","","","","","","","31","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","31","0","0","0","","N","","",""
"2026-08-13","DJM266200","X002M8JTWB","B0H54MBVBR","","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","8.99","0.0","8.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Footwear","0.003","DE","","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26677","X002MC3UGX","B0H586ND8X","KSEWJP 5 Stück Goldene Groß Geschenkschleifen aus Polypropylen, Zugschleifen mit 12cm fertigem Durchmesser für Geschenkverpackung Auto Hochzeit Party Dekoration","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","10.99","0.0","10.99","0.0","Advertise listing","","","0","0","","0.0","0.002314","cubic meter","Standard","0.069426","DE","gl_furniture","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26612","X002MDBFIH","B0H55SKQKN","KSEWJP Wiederverwendbare Damen-Duschhaube Schwarz 33cm Durchmesser dreilagig mit Mikrofaser-Futter für alle Haarlängen","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","9.99","0.0","9.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26626","X002MC1ZLF","B0H556DDXC","KSEWJP 2 Stück Volumen Haarclips braun aus Nylon & Metall, unsichtbar Bump-Up Clip für mehr Haarvolumen, Haar Accessoire für alle Haartypen","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","5.99","0.0","5.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26659","X002MDDA7B","B0H5BGRFZS","KSEWJP 2 Stück Katzenhalsband mit Sicherheitsverschluss, Reflektierend Verstellbar mit Stern Mond und Glocke, für Kätzchen und Erwachsene Katzen, Haustierzubehör","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","5.99","0.0","5.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.003","DE","gl_pet_products","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM26625","X002MC2C0X","B0H55LYKW4","KSEWJP 5 Stück Gesichtsmaske Pinsel Set, Make-up Pinsel mit transparentem Kunststoffgriff, Kosmetik Werkzeuge für die Gesichtsmaske Anwendung","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.99","0.0","6.99","0.0","Advertise listing","","","0","0","","0.0","2.5E-4","cubic meter","Standard","0.00751","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266177","X002MNYEXZ","B0H6JT5X1Y","KSEWJP Salatbesteck aus massivem Akazienholz 2-teilig 30,5cm Salatgabel und Salatlöffel langgriffiges Servierbesteck für Küche und Restaurant","New","12","18","0","32","0","0","0","0","0","EUR","","","","","Low traffic","15.98","0.0","15.98","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0012","DE","gl_home","","","0","","","","","","","","32","0","0","0","0","","0","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","2","0","0","","N","","",""
"2026-08-13","DJM26693","X002MFLGD9","B0H5QMKTDZ","KSEWJP Tierhaarentferner Katzenhaarentferner Hundehaare Entfernen Fusselentferner für Sofa Auto Teppich Kratzbaum Kleidung Tragbarer Fusselbürste Pet Hair Remover (Orange)","New","29","0","0","29","0","0","0","0","0","EUR","1","1","1","1","Low traffic","8.99","0.0","8.99","0.0","Advertise listing","","","0","0","","0.07","1.0E-4","cubic meter","Standard","0.0029","DE","gl_home","","293","0","116","377","8.99","7.55","7.55","7.55","7.55","29","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","236.0","","","","","2026-08-10","Yes","No","236.0","236.0","2026-08-10","29","0","0","0","293","N","","",""
"2026-08-13","DJM266388","X002MO6B6H","B0H6FKK6M5","KSEWJP 100 Stück Gardinengleiter Weiß Kunststoff Vorhanggleiter für innere Schienen Gardinenrollen Faltengleiter für Vorhanghaken Duschvorhang Türvorhänge","New","28","2","0","30","0","0","0","0","0","EUR","","","","","Low traffic","6.99","0.0","6.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0028","DE","gl_home","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
"2026-08-13","DJM266394","X002MR8XI3","B0H6PJR2M6","KSEWJP Handgeschmiedete Nagelhautzange, Professioneller Nagelhautschneider aus Chirurgischem Edelstahl, Doppelfeder, Beidhändig, Exklusiv für Nagelstudios","New","16","14","0","30","0","0","0","0","0","EUR","","","","","Low traffic","9.99","0.0","9.99","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0016","DE","gl_beauty","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","7","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","7","0","0","","N","","",""
"2026-08-13","DJM266270","X002M9UXPR","B0H4ZMRPL6","KSEWJP Harzknöpfe rund 21mm flach mit 4 Löchern, dunkelblau Hornoptik, 6 Stück zum Aufnähen für Jacken Mäntel Strickjacken und Handarbeiten","New","29","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","4.19","0.0","4.19","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Standard","0.0029","DE","gl_office_product","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","29","0","0","0","","N","","",""
"2026-08-13","DJM266221","X002MD8823","B0H589B8RC","KSEWJP Y2K Stern & Mond Taillenkette für Frauen, Metall Chunky Kette Gürtel, Verstellbar, Silber, 105 cm","New","30","0","0","30","0","0","0","0","0","EUR","","","","","Low traffic","9.34","0.0","9.34","0.0","Advertise listing","","","0","0","","0.0","1.0E-4","cubic meter","Apparel","0.003","DE","gl_apparel","","","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","","N","","",""
