"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","Y11320","X00275WQBZ","B0DQTXL7KB","16mm Replacement Jean Tack Buttons No Sew Metal Buttons for Denims, Jeans, Jackets,12 Sets (Bronze)","New","25","0","0","25","0","0","0","0","0","GBP","2","4","6","13","Low traffic","4.39","0.0","4.39","0.0","NoExcessInventory","25","0.0","0","0","0.0","0.75","0.002543","cubic feet","Standard","0.063575","UK","gl_office_product","148371","208","0","25","25","4.39","7.32","14.64","21.78","44.31","16","9","0","0","0","0.04","0","0","0","0","0","0","","","","","","","","","","","","","416.5","0","","2026-08-09","416.5","121.3","2026-08-10","25","0","0","0","208","N","","",""
"2026-08-13","RPAJM155","X002I9IF3X","B0GL645Y63","4 Pcs/Set PVC Solid Color Right-Angle Table Corner Protective Cover Anti-Collision for Protection Angle for Babies Kids Baby Proofing Edge Guards Black for Furniture White Baby Safety","","0","0","0","0","1","0","0","0","0","GBP","0","0","2","4","","0.0","0.0","0.0","0.0","CreateShippingPlan","","","0","0","","0.64","0.003531","cubic feet","Standard","0.0","UK","gl_home","75377","0","0","","0","4.69","0.0","0.0","7.9","15.88","0","0","0","0","0","","0","0","0","0","1","0","","","","","","","","","","","","","","1","2026-08-11","","","153.0","2026-08-10","0","1","0","0","43","N","","",""
"2026-08-13","RJM2603110","X002JE4UGD","B0GSVLCXZJ","KSEWJP Taschenanhänger – Cute Cherry Bow Design, Leather, Birthdays, Mother’s Day, Valentine’s Day","New","29","0","0","0","30","0","0","0","0","GBP","","","","","Low traffic","3.59","0.0","3.59","0.0","Advertise listing","0","0.0","0","0","67.04","0.0","0.003531","cubic feet","","0.102399","UK","gl_apparel","","","29","","","3.59","","","","","0","0","0","0","0","0.06","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","","2026-08-10","29","1","0","0","","N","","",""
"2026-08-13","Y1275","X00275P3J7","B0DQS4TKVJ","50 Pack Heavy Duty Metal Curtain Drapery Hooks, Silver Matte Butterfly Style Pins for Pencil Pleats Blackout Drapes Window Blinds","New","22","0","0","23","0","0","0","0","0","GBP","2","14","19","22","Low traffic","3.99","0.0","3.99","0.0","NoRestockExcessActionRequired","0","0.0","0","0","83.35","1.45","0.008899","cubic feet","Standard","0.195778","UK","gl_home","367919","91","0","6","13","3.99","6.64","46.48","63.08","73.04","20","3","0","0","0","0.13","0","0","0","0","1","0","","","","","","","","","","","","","52.6","1","2026-08-10","2026-08-09","32.8","52.6","2026-08-10","22","1","0","0","96","N","","",""
"2026-08-13","JM2603052","X002J3QI7D","B0GRGCY2G1","Unisex Chef Hats Adjustable Caps with Breathable Mesh Top for Kitchen Cooking Professional Catering Chefs Hat Black","New","44","0","0","21","23","0","0","0","0","GBP","0","2","5","6","Low traffic","6.19","0.0","6.19","0.0","Advertise listing","0","0.0","0","0","252.55","0.19","0.003531","cubic feet","Apparel","0.155364","UK","gl_apparel","988701","366","44","88","95","6.39","0.0","10.64","26.6","31.92","21","0","0","0","0","0.09","0","0","0","0","0","0","","","","","","","","","","","","","405.0","0","","2026-08-09","387.0","405.0","2026-08-10","44","0","0","0","366","N","","",""
"2026-08-13","JM2601010","X002HWNHW5","B0GJ8B2K97","KSEWJP Hamburger Simulation Cheeseburger Pendant Key Chain Key Ring Pendant Hamburger Handmade Jewelry for Hanging on Bag Key Women's Novelty Keychains Accessories, Car Keychain, Bobs Burgers Keychai","New","6","0","0","6","0","0","0","0","0","GBP","1","4","9","11","Low traffic","6.09","0.0","6.09","0.0","CreateShippingPlan","0","5.79","52","0","32.1","1.69","0.003531","cubic feet","Apparel","0.021186","UK","gl_apparel","320260","59","0","6","7","6.09","5.07","20.28","45.15","54.79","0","6","0","0","0","0.01","0","0","0","0","0","0","","","","","","","","","","","","","64.8","6","2026-08-09","2026-08-09","64.8","53.8","2026-08-10","6","0","0","0","59","N","","",""
"2026-08-13","RPAJM028","X002HNH7MZ","B0GGLLKYFJ","2 Pcs Scarf Buckle Women Three Rings Scarf Ring Elegant Silk Scarf Clasp Clips Large Clothing Wrap Holder Triple Sliding Neckerchief Clamps Decorate Accessory for Ladies Girls, Silver and Golden","New","45","5","0","50","0","0","0","0","0","GBP","0","1","22","23","Low traffic","4.59","0.0","4.59","0.0","NoRestockExcessActionRequired","0","0.0","0","0","101.2","1.44","0.003531","cubic feet","Apparel","0.158895","UK","gl_apparel","985224","366","0","180","25","4.59","0.0","3.82","84.99","88.73","50","0","0","0","0","0.1","0","0","0","0","0","0","","","","","","","","","","","","","398.0","0","","2026-08-09","398.0","64.4","2026-08-10","50","0","0","0","366","N","","",""
"2026-08-13","JM2601035","X002HYBWSJ","B0GJF3CP95","10Pcs No Smoking Signs, No Smoking or Vaping Signs Vinyl Self-Adhesive Stickers, Waterproof Transparent Anti-Smoking Stickers for Vehicles Office Restaurant Public Places Windows Doors","New","9","0","0","9","0","0","0","0","0","GBP","0","2","3","5","Low traffic","4.19","0.0","4.19","0.0","Advertise listing","0","0.0","0","0","20.06","0.71","0.003531","cubic feet","Standard","0.031779","UK","gl_office_product","380269","366","0","78","101","4.19","0.0","6.98","10.47","17.61","0","4","5","0","0","0.02","30","0","30","0","0","0","","","","","","","","","","","","","140.8","0","","2026-08-09","99.3","140.8","2026-08-10","39","0","0","0","366","N","","",""
"2026-08-13","JM2603032","X002J3OWQH","B0GRH4GMGH","Silicone Lids, 2-Pack Reusable Can Lids & Food Covers with Straws for Tins, BPA-Free Drink Covers Anti-Spill for Standard Soda/Beer/Juice Cans, Includes Straw Cover","New","17","0","0","11","6","0","0","0","0","GBP","1","1","3","7","Low traffic","6.39","0.0","6.39","0.0","Advertise listing","17","0.0","0","0","0.0","0.4","0.003531","cubic feet","Standard","0.060027","UK","gl_home","253233","366","0","184","85","6.39","5.32","5.32","16.64","40.5","0","0","11","0","0","0.03","29","0","29","0","0","0","","","","","","","","","","","","","543.0","0","","2026-08-09","543.0","229.1","2026-08-10","46","0","0","0","366","N","","",""
"2026-08-13","RPAJM232","X002I8YH77","B0GL1HYM7W","2 Pairs Black Waxed Cotton Shoe Laces, 7mm Flat 120cm Waterproof Boot Laces, Durable Wax Coated for Leather Boots Work Shoes Casual Footwear","New","7","0","0","0","7","0","0","0","0","GBP","1","1","2","2","Low traffic","4.49","0.0","4.49","0.0","NoRestockExcessActionRequired","0","0.0","0","0","14.55","0.24","0.003531","cubic feet","Footwear","0.024717","UK","gl_shoes","283140","158","7","28","45","4.49","3.74","3.74","7.81","7.81","0","0","0","0","0","0.01","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","390.5","2026-08-10","7","0","0","0","158","N","","",""
