"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","afn-fulfillable-quantity-local","afn-fulfillable-quantity-remote","afn-fc-transfer-quantity","afn-onhand-buyable-quantity","store"
"GD260601","X002LZWTK9","B0H49T4KPX","Bunting Flags 10 Metre Flag Garland 30pcs for Party Festival Celebration Sport Schools Street Carnivals Birthday Garden Home Remembrance Day Decorations Polyester Material Fabric","New","6.99","No",,"Yes","0","0","0","0","0","99.96","0","0","0","0","0","0","0","0","0","0",
"GD2607112","X002MVS33J","B0H7R8JVQV","GDFGFMY 35 Inch Satin Large Square Head Scarf, Silky Soft Hair Wrap, Lightweight Neck Scarf & Sleeping Head Cover, Printed Satin Hair Accessory for Women Daily Wear","New","7.59","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607113","X002MVNN6L","B0H7RKW1YJ","GDFGMY 35 Inch Satin Large Square Head Scarf, Silky Stripe Print Hair Wrap, Lightweight Neck Scarf Sleeping Head Cover for Women Daily Hair Accessory","New","7.59","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607114","X002MVT1UX","B0H7RJL1BP","GDFGMY 2 Pack Buckless Elastic Belt for Men, Metal Hook No Buckle Waist Strap, Adjustable Invisible Stretch Belt for Jeans Pants Unisex","New","5.69","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607115","X002MVNZHX","B0H7RNMDC6","GDFGMY 2 Pack Adjustable Buckle-Free Stretch Belt, Metal Hook Invisible Elastic Waist Strap, Comfort No Bulge Belt for Men Women Jeans Work Pants","New","8.54","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607116","X002MVNZBT","B0H7RMJ1Z3","GDFGMY 6 Pack Chain Waist Tightener Clips, Metal Jean Waist Adjustment Hooks, No Sew Pants Waist Reducer Clips for Loose Denim Trousers, 3 Colors Gold Black Silver","New","5.69","No",,"Yes","0","0","0","0","27","99.96","0","27","0","0","0","0","0","0","0","0",
"GD2607117","X002MVW623","B0H7RN2RFQ","GDFGMY 10 Pack Plastic Waist Tightener Clips, No Sew Jean Waist Reducer Clasps, Instant Pants Waist Size Adjuster for Loose Jeans Shorts Skirts, Solid Black","New","5.69","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607118","X002MVUN5P","B0H7RLMWGZ","GDFGMY 70x70cm Solid Satin Square Scarf for Women, Smooth Silky Feel Hair Wrap Neck Bandana, Versatile Plain Head Scarf Handbag Ribbon Accessory","New","6.64","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607119","X002MVW13H","B0H7RWBFLM","GDFGMY 70x70cm Glossy Satin Solid Rose Square Scarf, Silky Smooth Hair Wrap Neck Bandana, Multi-use Plain Handbag Decor Ribbon for Women Daily Outfits","New","6.64","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607120","X002MVQPGL","B0H7RMJLV5","GDFGMY 70x70cm Bright Yellow Solid Satin Square Scarf, Silky Lightweight Hair Wrap Neck Bandana, Multi-purpose Plain Bag Decor Ribbon for Women Daily Fashion Match","New","6.64","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607121","X002MVOJGJ","B0H7RLVTH1","GDFGMY 70x70cm Cream White Satin Solid Square Scarf, Soft Silky Neutral Tone Hair Wrap Neck Bandana, Multi-use Plain Handbag Decor Ribbon for Women Daily Minimalist Outfits","New","6.64","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607122","X002MVVZE3","B0H7RW6LMN","GDFGMY 6 Sets Overalls Suspender Buckle Replacement Kit, 1.5 Inch Metal Dungaree Fastener Clasps with Slider Adjusters and Rivet Buttons, Black Overall Hardware Repair Parts","New","6.64","No",,"Yes","0","0","0","0","29","99.96","0","29","0","0","0","0","0","0","0","0",
"GD2607123","X002MVZ1VV","B0H7RYZWQ3","GDFGMY 6 Pack Adult Swimming Nose Clips, Soft Silicone Waterproof Swim Nose Plugs with Metal Spring Frame, Comfort Nose Protector for Pool Training, Competitive Water Sports","New","6.83","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607124","X002MVXBD1","B0H7S3P2FM","GDFGMY 10 Pack Black Reusable Plastic Measuring Scoops, Multi-Purpose Kitchen Spoon for Coffee Beans, Protein Powder, Laundry Detergent, Dry Food Ingredients","New","5.88","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607125","X002MVXVIV","B0H7SBCF4C","GDFGMY 30 Pack Double Ended Solid White Plastic Scoops, 2.5ml & 5ml Dual Size Reusable Measuring Spoons for Coffee Powder, Protein Supplements, Medicine and Daily Dry Ingredients","New","5.98","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607127","X002MVXVVD","B0H7S3C8TN","GDFGMY 10 Pack Multi-Colour Portable Toothbrush Head Storage Caps, Light Plastic Dustproof Brush Head Protector Covers for Manual & Most Standard Electric Toothbrushes, 5 Mixed Shades","New","5.69","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607128","X002MWKTEJ","B0H7W23SDV","Compatible with Oral B iO Series iO4 iO5 iO6 iO7 iO8 iO9 Pro 3 Smart 6 Genius Electric Toothbrush Heads, GDFGMY 6 Pack Multicolor Transparent Toothbrush Head Dust Caps Portable Protective Covers for T","New","6.61","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607129","X002MWE4E5","B0H7VT9LM8","GDFGMY 5 Pack Retractable Reel Neck Lanyards, Black Nylon ID Badge Holder Strap Key Chains for Office, School, Business Conference & Events","New","10.44","No",,"Yes","0","0","0","0","30","99.96","0","30","0","0","0","0","0","0","0","0",
"GD2607130","X002MWEE1X","B0H7W3G8NV","GDFGMY 2 Hook Bra Extenders 3 Pack, 19mm (3/4 Inch) Hook Spacing Soft Elastic Nylon Bra Strap Extensions, Multicolour Bra Band Extenders for Women","New","4.74","No",,"Yes","0","0","0","0","30","199.92","0","30","0","0","0","0","0","0","0","0",
"GD2607131","X002MWUO5X","B0H7XGL62X","GDFGMY 5 Pack 2 Hook 3 Row Bra Extenders, Pink Adjustable Bra Strap Extensions, One Size Soft Bra Band Extender for Women Lingerie","New","5.69","No",,"Yes","0","0","0","0","30","199.92","0","30","0","0","0","0","0","0","0","0",
"GD2607132","X002MWL9FH","B0H7VWV93Y","GDFGMY 2 Pack PU Leather Zip Pull Replacements, Black Zipper Pull Strap Tabs for Luggage Handbags Bags Clothing Trousers","New","5.22","No",,"Yes","0","0","0","0","30","199.92","0","30","0","0","0","0","0","0","0","0",
"GD2607133","X002MWMFJV","B0H7W3F8PD","GDFGMY 5 Pack Silicone Luggage Tags with Name ID Card, Orange Flexible Luggage Labels with Stainless Steel Loop & Privacy Cover for Suitcases Travel Bags","New","6.64","No",,"Yes","0","0","0","0","30","199.92","0","30","0","0","0","0","0","0","0","0",
"GD2607134","X002MX49OT","B0H7X4RPNZ","GDFGMY 5 Pack Yellow Silicone Luggage Tags with Privacy Name ID Card, Flexible Soft Travel Labels with Stainless Steel Cable Loops for Suitcases Handbags Travel Bags","New","6.64","No",,"Yes","0","0","0","0","30","199.92","0","30","0","0","0","0","0","0","0","0",
