"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","GD26727","X002MUOV4P","B0H7LWK2M6","20Pcs Round Pearl Buttons 12mm Pearl Sewing Buttons for Crafts Clothes Sewing","New","29","1","0","30","0","0","0","0","0","GBP","","","","","Low traffic","7.39","0.0","7.39","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.102399","UK","gl_office_product","","124","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","30","0","0","0","124","N","","",""
"2026-08-13","GD26747","X002MUNGV9","B0H7LLLCJL","GDFGMY 12 Pack 18mm Dark Navy Blue Round Flat Buttons, 4-Hole Sew On Buttons 28 Ligne for Suits Trousers Skirts Clothing Sewing DIY Crafts","New","29","1","0","30","0","0","0","0","0","GBP","","","","","Low traffic","6.59","0.0","6.59","0.0","Advertise listing","","","0","0","","0.0","0.007063","cubic feet","Standard","0.204827","UK","gl_office_product","","139","0","","","","","","","","30","0","0","0","0","","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","","2026-08-10","30","1","0","0","143","N","","",""
"2026-08-13","GD26756","X002MUH4MB","B0H7LY2KND","GDFGMY 4 Pcs Pink Self-Grip Hair Rollers with Clips, No Heat Volumising Hair Root Clips Bangs Curler Portable DIY Hair Styling Accessories","New","29","0","0","30","0","0","0","0","0","GBP","","","","","Low traffic","5.89","0.0","5.89","0.0","Advertise listing","","","0","0","","0.0","0.007063","cubic feet","Standard","0.204827","UK","gl_beauty","","126","0","","","","","","","","30","0","0","0","0","","0","0","0","0","1","0","","","","","","","","","","","","","","0","","","","","2026-08-10","29","1","0","0","130","N","","",""
"2026-08-13","GD6683","X002MNNYQN","B0H6TQ16NF","GDFGMY 6 Pack CCTV 24 Hour Surveillance Warning Stickers, Octagon Blue White Security Camera Alert Decals, Weatherproof Self-Adhesive Monitoring Notice Labels, 2 Large + 4 Medium Sizes for Indoor & Ou","New","28","2","0","30","0","0","0","0","0","GBP","","","","","Low traffic","5.69","0.0","5.69","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.098868","UK","gl_office_product","","144","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","30","0","0","0","144","N","","",""
"2026-08-13","GD6626","X002MNUINP","B0H6TV1PL7","GDFGMY Food Grade Stainless Steel Tea Strainer with Drip Tray, Fine Mesh Loose Leaf Tea Infuser, Non-Slip Hook Handle, Dishwasher Safe Filter for Tea Coffee Herbs Spices Dry Sifting","New","30","1","0","31","0","0","0","0","0","GBP","","","","","Low traffic","6.69","0.0","6.69","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.10593","UK","gl_kitchen","","99","0","","","","","","","","31","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","31","0","0","0","99","N","","",""
"2026-08-13","GD6660","X002MNUW63","B0H6TT4CBL","GDFGMY 10 Pack Soft Fabric Hair Scrunchies, No Damage Elastic Hair Ties, Stretchy Ponytail Holders for Women, 5 Colours Hair Accessories for Daily Work & Sports","New","16","14","0","30","0","0","0","0","0","GBP","","","","","Low traffic","6.39","0.0","6.39","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.056496","UK","gl_beauty","","131","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","30","0","0","0","131","N","","",""
"2026-08-13","GD26736","X002MUORRB","B0H7M4ZF4B","GDFGMY Leaf Rhinestone Faux Pearl Bridal Hair Barrette, Silver Crystal Floral Hair Clip, Elegant Wedding Hair Accessories for Women Long Hair","New","30","0","0","30","0","0","0","0","0","GBP","","","","","Low traffic","6.69","0.0","6.69","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.10593","UK","gl_beauty","","113","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","30","0","0","0","113","N","","",""
"2026-08-13","GD6662","X002MNVENN","B0H6TR29Z9","GDFGMY 4 Pack 60mm Desk Grommet Kit, Matte Black ABS Cable Hole Covers with Removable Lid, Round Desktop Wire Organizers for Home Office Computer Desk","New","30","0","0","30","0","0","0","0","0","GBP","","","","","Low traffic","5.69","0.0","5.69","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.10593","UK","gl_electronics","","139","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","139","N","","",""
"2026-08-13","GD26704","X002MTL2R5","B0H7HBYB15","GDFGMY Adjustable Glasses Strap, Nylon Eyewear Retainer with Silicone Non-Slip Grips, Universal Lanyard Cord for Sunglasses Reading Glasses Sports Eyeglasses, Black 1 Pack","New","28","1","0","30","0","0","0","0","0","GBP","","","","","Low traffic","5.99","0.0","5.99","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Apparel","0.098868","UK","gl_apparel","","255","0","","","","","","","","30","0","0","0","0","","0","0","0","0","2","0","","","","","","","","","","","","","","0","","","","","2026-08-10","29","2","0","0","284","N","","",""
"2026-08-13","GD6627","X002MNO3S1","B0H6TWK9DF","GDFGMY Silicone Swimming Nose Clip with Storage Case, Comfort Anti-Water Nose Protector for Adult Teen Swimming Surfing Diving Pool Training, Multiple Colours Available","New","23","7","0","30","0","0","0","0","0","GBP","","","","","Low traffic","5.69","0.0","5.69","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.081213","UK","gl_sports","","227","0","","","","","","","","30","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","30","0","0","0","227","N","","",""
