"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-366-to-455-days","inv-age-456-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-366-455-days","estimated-ais-366-455-days","quantity-to-be-charged-ais-456-plus-days","estimated-ais-456-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Reserved Staging","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-08-13","YH60678","X002MAPSTH","B0H5JGSMCV","WVGSXBO 3 Pack Zigzag Non-Slip Headbands for Glasses Wearers, Matte Hair Bands for Women, No Pressure Comfort Fit for Daily Wear Sports, Blue Burgundy Coffee","New","27","0","0","30","0","0","0","0","0","GBP","","","","","Low traffic","6.36","0.0","6.36","0.0","Advertise listing","","","0","0","","0.0","0.032408","cubic feet","Standard","0.875016","UK","gl_beauty","","160","0","","","","","","","","30","0","0","0","0","","0","0","0","0","3","0","","","","","","","","","","","","","","0","","","","","2026-08-10","27","3","0","0","173","N","","",""
"2026-08-13","YH60532","X002LJAFFL","B0H2HRVJ5V","WVGSXBO 20 Pack Black Cable Clips, Self-Adhesive Cable Clips Black, Strong Wire Holders Cord Organisers for TV PC Home Office Car Cable Management","New","4","0","0","6","0","0","0","0","0","GBP","2","4","4","4","Low traffic","5.69","0.0","5.69","0.0","Advertise listing","","","0","0","","0.75","0.003531","cubic feet","Standard","0.014124","UK","gl_home_improvement","129018","6","0","64","208","5.69","9.48","18.96","18.96","18.96","0","6","0","0","0","","60","60","0","0","1","0","","","","","","","","","","","","","266.0","0","","2026-08-09","146.0","266.0","2026-08-10","64","1","0","0","100","N","","",""
"2026-08-13","YH60527","X002LHDFAP","B0H2DGQWZM","WVGSXBO 8cm Wide Elastic Headbands for Women, 3 Pack yarn Non Slip Headbands for Women's Hair, Soft Stretch Hair Bands for Sports Yoga Running Makeup, Black Beige Khaki","New","6","0","0","6","0","0","0","0","0","GBP","2","4","4","4","Low traffic","5.68","0.0","5.68","0.0","Advertise listing","","","0","0","","0.75","0.003531","cubic feet","Standard","0.021186","UK","gl_sports","277609","271","0","36","117","5.68","9.46","19.35","19.35","19.35","0","6","0","0","0","","30","0","30","0","0","1","","","","","","","","","","","","","167.0","0","","2026-08-09","87.0","167.0","2026-08-10","36","0","0","0","271","N","","",""
"2026-08-13","YH60628","X002M57YMV","B0H4R4BHZJ","","New","10","0","0","10","0","0","0","0","0","GBP","","","","","Low traffic","5.69","0.0","5.69","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.03531","UK","","","77","0","","","5.69","","","","","10","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","10","0","0","0","77","N","","",""
"2026-08-13","YH605153","X002LU5ZB9","B0H3K4BF86","","New","9","1","0","10","0","0","0","0","0","GBP","","","","","Low traffic","4.74","0.0","4.74","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","","0.031779","UK","","","68","0","","","","","","","","10","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","","","2026-08-10","10","0","0","0","68","N","","",""
"2026-08-13","YH60576","X002LIUX6N","B0H2HG6V71","WVGSXBO 5 Pack No Tail Adjustable Eyewear Retainer, Sports Glasses Straps for Men Women Teenagers, Soft Non-Slip Sunglasses Strap, Lightweight Eyeglass Band for Running Hiking Ski Mountaineering","New","4","0","0","4","0","0","0","0","0","GBP","3","6","6","6","Low traffic","5.39","0.0","5.19","0.0","Advertise listing","","","0","0","","0.86","0.003531","cubic feet","Apparel","0.014124","UK","gl_apparel","380320","107","0","22","73","5.39","12.96","26.09","26.09","26.09","0","4","0","0","0","","30","0","30","0","0","0","","","","","","","","","","","","","84.3","0","","2026-08-09","66.8","84.3","2026-08-10","34","0","0","0","107","N","","",""
"2026-08-13","YH606107","X002MND8BJ","B0H6RXX1PH","WVGSXBO 6 Pack French Hair Comb Slides, Tortoiseshell Leopard Print 23-Tooth Side Combs, Strong Hold Plastic Styling Accessories for Women Updos Buns","New","28","1","0","29","0","0","0","0","0","GBP","","","","","Low traffic","6.55","0.0","6.55","0.0","Advertise listing","","","0","0","","0.0","0.003531","cubic feet","Standard","0.098868","UK","gl_beauty","","140","0","","","","","","","","29","0","0","0","0","","1","0","0","1","0","0","","","","","","","","","","","","","","","","","","","2026-08-10","30","0","0","0","140","N","","",""
"2026-08-13","YH605181","X002LVCFRZ","B0H3MLNCRQ","WVGSXBO Pressure Washer Nozzles, Stainless Steel Sewer Jet Nozzle, 1/4 Inch Quick Connector Drain Cleaner Tool, 10mm Orifice Pipe Unclogging Nozzle for Home Plumbing Industrial Use","New","16","0","0","16","0","0","0","0","0","GBP","1","4","4","4","Low traffic","6.79","0.0","6.79","0.0","Advertise listing","","","0","0","","0.22","0.003531","cubic feet","Standard","0.056496","UK","gl_home_improvement","54735","85","0","76","247","6.79","5.66","23.57","23.57","23.57","0","16","0","0","0","","60","60","0","0","0","0","","","","","","","","","","","","","238.7","0","","2026-08-09","192.0","238.7","2026-08-10","76","0","0","0","366","N","","",""
"2026-08-13","YH60616","X002M56LBB","B0H4QVKCV4","WVGSXBO 1 Piece Stretch Turbans for Women, Breathable Lightweight Head Turban, Soft Hair Wrap for Daily Wear, Sleep & Casual Styling White","New","7","0","0","7","0","0","0","0","0","GBP","1","3","3","3","Low traffic","6.09","0.0","6.29","0.0","Advertise listing","","","0","0","","0.35","0.003531","cubic feet","Apparel","0.024717","UK","gl_apparel","484046","53","0","89","290","6.29","5.24","16.06","16.06","16.06","0","7","0","0","0","","60","60","0","0","0","0","","","","","","","","","","","","","111.3","0","","2026-08-09","88.0","111.3","2026-08-10","67","0","0","0","366","N","","",""
"2026-08-13","YH605102","X002LTD003","B0H3F79P7F","WVGSXBO Retro Round Glasses, Polarised Festival Sunglasses, Orange Sunglasses UV400 Metal Frame 70s Hippie Shades for Adult Men Women Party","New","9","0","0","9","0","0","0","0","0","GBP","1","1","1","1","Low traffic","5.49","0.0","5.49","0.0","Advertise listing","","","0","0","","0.11","0.003531","cubic feet","","0.031779","UK","gl_shoes","469011","83","0","276","897","5.49","4.57","4.57","4.57","4.57","0","9","0","0","0","","60","60","0","0","0","0","","","","","","","","","","","","","366.0","0","","2026-08-09","296.0","366.0","2026-08-10","69","0","0","0","366","N","","",""
