"snapshot-date","sku","fnsku","asin","product-name","condition","available","fc-transfer","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-5-mo","projected-ltsf-5-mo","qty-to-be-charged-ltsf-12-mo","estimated-ltsf-next-charge","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-91-to-150-days","inv-age-151-to-180-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)"
"2026-08-13","YDMT2511101-XL","X002GB2LUV","B0G2M1T8NV","","","8","0","0","0","0","8","0","0","INR","7","1056.55","0","0.0","0","0","0","0","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.0","0.006556","cubic meter","","0.052446","IN","","1562617","","0","","","529.0","0.0","0.0","0.0","0.0","0","0","0","0","0","8","0","","0","0","0","0","0","0","2026-08-10","8","0","0",""
"2026-08-13","YDMT50975","X002F10JKB","B0FT8B1671","","","22","0","0","20","1","1","0","0","INR","1","23.6","0","0.0","0","0","0","0","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.0","2.41E-4","cubic meter","","0.005304","IN","","","","0","","","332.0","0.0","0.0","0.0","0.0","0","20","0","1","0","1","0","","0","0","0","0","0","0","2026-08-10","22","0","0",""
"2026-08-13","YDMT50915","X002EQ9FH5","B0FRXRXX8X","","","42","0","0","0","3","39","0","0","INR","41","967.6","0","0.0","","","","","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.0","4.86E-4","cubic meter","","0.020422","IN","","","","0","","","242.0","","","","","0","0","0","3","0","39","0","","0","0","0","0","0","0","2026-08-11","42","0","0",""
"2026-08-13","YDMT2511128","X002GBYTQP","B0G2S35NLV","","","4","0","0","0","0","4","0","0","INR","3","102.68","0","0.0","0","0","0","0","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.0","0.001487","cubic meter","","0.005946","IN","","1589140","","0","","","539.0","0.0","0.0","0.0","0.0","0","0","0","0","0","4","0","","0","0","0","0","0","0","2026-08-11","4","0","0",""
"2026-08-13","YDMT260501","X002LGR21T","B0H29B9XWP","","","7","0","0","7","0","0","0","0","INR","0","0.0","0","0.0","0","2","2","2","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.25","1.0E-4","cubic meter","","7.0E-4","IN","","250403","","0","14","45","503.0","0.0","852.56","852.56","852.56","0","7","0","0","0","0","0","","0","0","0","0","0","0","2026-08-10","7","0","0",""
"2026-08-13","YDMT2511175","X002GDFJYT","B0G2Y7ZC1H","","","12","0","0","0","0","12","0","0","INR","11","259.6","0","0.0","0","0","5","10","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.62","2.96E-4","cubic meter","","0.003549","IN","","44007","","0","","15","189.0","0.0","0.0","733.05","1516.92","0","0","0","0","0","12","0","","0","0","0","0","0","1","2026-08-10","12","0","0",""
"2026-08-13","YDMT2511221-XL","X002GJ5DMB","B0G43DKR6F","","","26","0","0","0","0","26","0","0","INR","25","783.26","0","0.0","","","","","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.0","0.001361","cubic meter","","0.035381","IN","","1059495","","0","","","719.0","","","","","0","0","0","0","0","26","0","","0","0","0","0","0","0","2026-08-11","26","0","0",""
"2026-08-13","YDMT260502","X002LGRJZD","B0H29LQGLN","","","10","0","0","10","0","0","0","0","INR","0","0.0","0","0.0","","","","","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.0","1.0E-4","cubic meter","","0.001","IN","","","","0","","","","","","","","0","10","0","0","0","0","0","","0","0","0","0","0","0","2026-08-10","10","0","0",""
"2026-08-13","YDMT251130","X002G9U8P3","B0G2GT3W52","","","11","0","0","0","0","11","0","0","INR","10","236.0","0","0.0","0","0","0","0","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.0","4.8E-4","cubic meter","","0.005283","IN","","965111","","0","","","278.0","0.0","0.0","0.0","0.0","0","0","0","0","0","11","0","","0","0","0","0","0","0","2026-08-10","11","0","0",""
"2026-08-13","YDMT50934","X002ERDEY9","B0FRZZZ9Z4","","","47","0","0","28","0","19","0","0","INR","19","448.4","0","0.0","0","0","0","1","","0.0","0.0","0.0","0.0","GoToStranded","","","0","0","","0.03","2.07E-4","cubic meter","","0.009749","IN","","799247","","0","","611","265.0","0.0","0.0","0.0","261.86","0","28","0","0","0","19","0","","0","0","0","0","0","0","2026-08-10","47","0","0",""
